dx_um,patch_width_um,patch,positive_current_a,negative_current_a,signed_relative_imbalance,net_current_stderr_a,relative_two_sigma_half_width,resolved_outside_contract
0.25,0.5,left-wall:0.500-1.000um,2.5504598133351794e-11,1.7688922647218365e-11,0.18094555259429493,1.1641859082453797e-12,0.053905580615186535,True
0.25,0.5,left-wall:1.000-1.500um,3.657312384741213e-12,6.070448538074374e-12,-0.2480669675663356,3.5791971336530034e-14,0.0073587275880892975,True
0.25,0.5,right-wall:0.500-1.000um,2.5278482659240855e-11,1.856486122996148e-11,0.15312749516199184,8.606214696763899e-13,0.0392589338920539,True
0.25,0.5,right-wall:1.000-1.500um,3.4206627598461926e-12,6.294734650608339e-12,-0.2958264875165497,2.2284109287360065e-14,0.004587379876685355,True
0.25,0.5,top:0.000-0.500um,4.4038343832736375e-11,4.2501793063996886e-11,0.017755354033851672,1.524205851900746e-14,0.00035225408846291807,False
0.25,0.5,top:0.500-1.000um,4.4188939048578656e-11,4.335909433352019e-11,0.009478736220568768,6.678602380584941e-15,0.00015257001494109015,False
0.25,1.0,floor:0.000-1.000um,2.955968950961434e-11,2.810635790911122e-11,0.025202552724832395,2.269573156739632e-12,0.07871436515354603,False
0.25,1.0,left-wall:0.000-1.000um,2.5504598133351794e-11,1.7688922647218365e-11,0.18094555259429493,1.1641859082453797e-12,0.053905580615186535,True
0.25,1.0,left-wall:1.000-2.000um,3.657312384741213e-12,6.070448538074374e-12,-0.2480669675663356,3.5791971336530034e-14,0.0073587275880892975,True
0.25,1.0,right-wall:0.000-1.000um,2.5278482659240855e-11,1.856486122996148e-11,0.15312749516199184,8.606214696763899e-13,0.0392589338920539,True
0.25,1.0,right-wall:1.000-2.000um,3.4206627598461926e-12,6.294734650608339e-12,-0.2958264875165497,2.2284109287360065e-14,0.004587379876685355,True
0.25,1.0,top:0.000-1.000um,8.822728288131502e-11,8.586088739751708e-11,0.01359308607820825,2.1611682361809873e-14,0.0002482843300288015,False
0.125,0.25,floor:0.250-0.500um,2.3772530500817855e-11,2.3651474887943512e-11,0.002552623125819546,1.3518074254693888e-12,0.057009415986180825,False
0.125,0.25,floor:0.500-0.750um,2.4547020182292468e-11,2.3617116089634633e-11,0.01930698159742227,1.825552735083409e-12,0.07580548002674134,False
0.125,0.25,left-wall:0.500-0.750um,1.3642521385302297e-11,8.564904777023356e-12,0.22864498439233774,3.6992048067750123e-13,0.0333150251608232,True
0.125,0.25,left-wall:0.750-1.000um,3.697238274508006e-12,1.1849530093065667e-12,0.5145814899817958,1.7728539151180404e-13,0.07262533612705428,True
0.125,0.25,left-wall:1.000-1.250um,2.627415141054088e-12,9.102799735569045e-13,0.48538246283724784,6.459349179722931e-14,0.03651727449912374,True
0.125,0.25,left-wall:1.250-1.500um,1.055576476343899e-12,5.230592905909877e-12,-0.6641590729884395,3.4134651438734884e-15,0.0010860239157760847,True
0.125,0.25,right-wall:0.500-0.750um,1.2865134153383765e-11,8.438293607774986e-12,0.20779944876664255,4.949106483905285e-13,0.04646300622971755,True
0.125,0.25,right-wall:0.750-1.000um,3.033417919108887e-12,1.097296150644736e-12,0.4687135773064126,2.658555434223519e-13,0.1287213488675138,True
0.125,0.25,right-wall:1.000-1.250um,3.1937961352891294e-12,9.31752210633777e-13,0.5483013977743901,5.823790890943931e-14,0.02823280884200192,True
0.125,0.25,right-wall:1.250-1.500um,1.120715915420421e-12,5.414913546380269e-12,-0.6570442305608792,1.181054078407809e-14,0.003614201463870647,True
0.125,0.25,top:0.000-0.250um,4.4038343832736885e-11,4.251125999341499e-11,0.017644030380419496,1.5865465480743115e-14,0.00036662133110652547,False
0.125,0.25,top:0.750-1.000um,4.4188939048579167e-11,4.327631865906108e-11,0.01043409021406639,4.170855857532865e-15,9.53717159669109e-05,False
0.125,0.5,floor:0.000-0.500um,2.3772530500817855e-11,2.3651474887943512e-11,0.002552623125819546,1.3518074254693888e-12,0.057009415986180825,False
0.125,0.5,floor:0.500-1.000um,2.4547020182292468e-11,2.3617116089634633e-11,0.01930698159742227,1.825552735083409e-12,0.07580548002674134,False
0.125,0.5,left-wall:0.500-1.000um,1.7339759659810298e-11,9.74985778632992e-12,0.2801775214644754,3.743770649614191e-13,0.02763989308492513,True
0.125,0.5,left-wall:1.000-1.500um,3.6829916173979876e-12,6.1408728794667825e-12,-0.25019494750291127,6.276706992325068e-14,0.012778488535399165,True
