depth_into_mask_nm,aperture_nm
549.05,87.70
549.65,87.70
550.25,88.30
550.85,88.30
551.45,88.30
552.05,88.30
552.65,88.30
553.25,88.30
553.85,88.30
554.45,87.70
555.05,87.70
555.65,87.70
556.25,87.70
556.86,87.70
557.46,87.70
558.06,87.10
558.66,87.10
559.26,87.10
559.86,87.70
560.46,88.30
561.06,88.30
561.66,88.30
562.26,88.30
562.86,87.70
563.46,87.70
564.06,87.70
564.66,87.70
565.27,87.70
565.87,87.70
566.47,87.70
567.07,87.70
567.67,87.70
568.27,87.70
568.87,87.70
569.47,87.70
570.07,88.30
570.67,88.30
571.27,88.30
571.87,88.30
572.47,88.30
573.07,88.30
573.67,88.30
574.28,88.90
574.88,88.90
575.48,88.90
576.08,88.90
576.68,88.90
577.28,88.90
577.88,88.30
578.48,88.30
579.08,88.30
579.68,88.30
580.28,88.30
580.88,88.30
581.48,88.30
582.08,88.30
582.69,88.30
583.29,87.70
583.89,87.70
584.49,87.10
585.09,87.10
585.69,87.10
586.29,86.50
586.89,86.50
587.49,86.50
588.09,86.50
588.69,86.50
589.29,86.50
589.89,86.50
590.49,87.10
591.10,87.10
591.70,87.10
592.30,87.10
592.90,86.50
593.50,86.50
594.10,85.90
594.70,86.50
595.30,86.50
595.90,86.50
596.50,85.90
597.10,85.90
597.70,85.30
598.30,85.30
598.90,85.30
599.51,85.30
600.11,85.30
600.71,85.30
601.31,85.30
601.91,85.90
602.51,85.90
603.11,86.50
603.71,86.50
604.31,86.50
604.91,87.10
605.51,87.10
606.11,87.10
606.71,87.10
607.31,87.70
607.92,87.70
608.52,87.70
609.12,88.30
609.72,88.90
610.32,88.90
610.92,88.90
611.52,89.51
612.12,89.51
612.72,89.51
613.32,89.51
613.92,89.51
614.52,88.90
615.12,88.90
615.72,88.90
616.33,88.90
616.93,88.90
617.53,87.70
618.13,87.70
618.73,87.70
619.33,87.70
619.93,87.10
620.53,87.10
621.13,87.10
621.73,86.50
622.33,86.50
622.93,86.50
623.53,85.90
624.13,85.90
624.73,85.30
625.34,85.30
625.94,85.30
626.54,85.90
627.14,85.90
627.74,86.50
628.34,86.50
628.94,85.90
629.54,85.90
630.14,86.50
630.74,86.50
631.34,86.50
631.94,86.50
632.54,86.50
633.14,85.90
633.75,85.90
634.35,85.90
634.95,85.90
635.55,85.90
636.15,85.90
636.75,85.90
637.35,85.90
637.95,85.90
638.55,85.90
639.15,85.90
