electron_energy_eV,a_3Pi_u_m2,A_1Pi_u_m2,b_3Pi_g_m2,B_1Pi_g_m2,C_1Delta_g_m2,c_3Sigma_g_minus_m2,D_1Sigma_g_plus_m2,e_3Sigma_u_plus_m2
3.5,2.9773e-21,0,0,0,0,0,0,0
3.52,2.5147e-21,0,0,0,0,0,0,0
3.54,2.1484000000000002e-21,0,0,0,0,0,0,0
3.5600000000000001,1.8683000000000001e-21,0,0,0,0,0,0,0
3.5800000000000001,1.6551e-21,0,0,0,0,0,0,0
3.6000000000000001,1.4916e-21,0,0,0,0,0,0,0
3.6200000000000001,1.3648000000000001e-21,0,0,0,0,0,0,0
3.6400000000000001,1.2654000000000002e-21,0,0,0,0,0,0,0
3.6600000000000001,1.1868000000000001e-21,0,0,0,0,0,0,0
3.6800000000000002,1.1241000000000001e-21,0,0,0,0,0,0,0
3.7000000000000002,1.0740000000000001e-21,0,0,0,0,0,0,0
3.7200000000000002,1.0338e-21,0,0,0,0,0,0,0
3.7400000000000002,1.0015e-21,0,0,0,0,0,0,0
3.7599999999999998,9.7579999999999988e-22,0,0,0,0,0,0,0
3.7799999999999998,9.5540000000000009e-22,0,0,0,0,0,0,0
3.7999999999999998,9.3950000000000003e-22,0,0,0,0,0,0,0
3.8199999999999998,9.2730000000000001e-22,0,0,0,0,0,0,0
3.8399999999999999,9.183e-22,0,0,0,0,0,0,0
3.8599999999999999,9.1199999999999998e-22,0,0,0,0,0,0,0
3.8799999999999999,9.0799999999999992e-22,0,0,0,0,0,0,0
3.8999999999999999,9.0609999999999998e-22,0,0,0,0,0,0,0
3.9199999999999999,9.0579999999999996e-22,0,0,0,0,0,0,0
3.9399999999999999,9.0719999999999986e-22,0,0,0,0,0,0,0
3.96,9.0980000000000003e-22,0,0,0,0,0,0,0
3.98,9.1359999999999989e-22,0,0,0,0,0,0,0
4,9.1840000000000001e-22,0,0,0,0,0,0,0
4.0199999999999996,9.242e-22,0,0,0,0,0,0,0
4.04,9.3070000000000004e-22,0,0,0,0,0,0,0
4.0599999999999996,9.3789999999999993e-22,0,0,0,0,0,0,0
4.0800000000000001,9.4580000000000005e-22,0,0,0,0,0,0,0
4.0999999999999996,9.5420000000000002e-22,0,0,0,0,0,0,0
4.1200000000000001,9.6310000000000002e-22,0,0,0,0,0,0,0
4.1399999999999997,9.7240000000000004e-22,0,0,0,0,0,0,0
4.1600000000000001,9.8219999999999991e-22,0,0,0,0,0,0,0
