electron_energy_eV,total_dissociation_cross_section_m2
13.06,9.6605520199999996e-21
13.08,9.6638673900000015e-21
13.1,9.6667829799999996e-21
13.119999999999999,9.6697987999999996e-21
13.140000000000001,9.6724148399999987e-21
13.16,9.6751311100000012e-21
13.18,9.6777476200000003e-21
13.199999999999999,9.6800643500000027e-21
13.220000000000001,9.6822813300000003e-21
13.24,9.6843985500000005e-21
13.26,9.6865160100000014e-21
13.279999999999999,9.6884337199999979e-21
13.300000000000001,9.6901516700000019e-21
13.32,9.6918698900000007e-21
13.34,9.6934883599999992e-21
13.359999999999999,9.6949070899999992e-21
13.380000000000001,9.6962260800000005e-21
13.4,9.6972453300000007e-21
13.42,9.698464860000001e-21
13.44,9.6992846600000006e-21
13.460000000000001,9.7001047299999981e-21
13.48,9.7008250900000014e-21
13.5,9.7013457200000003e-21
13.52,9.7017666400000034e-21
13.539999999999999,9.7019878500000022e-21
13.56,9.7023093600000016e-21
13.58,9.7024311499999996e-21
13.6,9.7021532500000001e-21
13.619999999999999,9.7020756499999993e-21
13.640000000000001,9.7017983499999987e-21
13.66,9.7013213599999998e-21
13.68,9.7007446899999992e-21
13.699999999999999,9.7000683399999986e-21
13.720000000000001,9.6993923000000004e-21
13.74,9.6986165900000006e-21
13.76,9.6973412100000008e-21
13.779999999999999,9.6962661599999982e-21
13.800000000000001,9.6951914600000012e-21
13.82,9.6936170900000012e-21
13.84,9.69224308e-21
13.859999999999999,9.690569410000001e-21
13.880000000000001,9.6888961099999986e-21
13.9,9.6871231699999993e-21
13.92,9.6850505999999993e-21
13.94,9.6828784099999978e-21
13.960000000000001,9.6808065999999987e-21
13.98,9.6785351899999985e-21
14,9.6760641799999989e-21
14.02,9.6733935799999998e-21
14.039999999999999,9.6709233999999983e-21
14.06,9.6681536500000007e-21
14.08,9.6652843500000005e-21
14.1,9.6621155099999983e-21
14.119999999999999,9.6589471400000021e-21
14.140000000000001,9.6555792800000007e-21
14.16,9.6523119399999991e-21
14.18,9.6486451599999978e-21
14.199999999999999,9.6449789699999983e-21
14.220000000000001,9.6410134400000005e-21
14.24,9.6368486599999999e-21
14.26,9.6324848099999984e-21
14.279999999999999,9.6274226200000002e-21
14.300000000000001,9.6218506199999999e-21
14.32,9.6165849900000021e-21
14.34,9.6112210499999995e-21
14.359999999999999,9.6059545199999973e-21
14.380000000000001,9.6003900799999984e-21
14.4,9.5950269799999984e-21
