effective_electron_temperature_eV,rescigno_x1_m3_s,hamilton_x1_m3_s,rescigno_x2_m3_s,hamilton_x2_m3_s,rescigno_x0p5_m3_s,hamilton_x0p5_m3_s
0.37018018018018001,5.7928431214910606e-20,8.6008117644363292e-19,7.4195701238258807e-31,2.14502352611e-24,1.44023471571137e-17,2.8222149595966399e-17
0.39019019019019002,1.0606846867014502e-19,1.33383141780519e-18,2.2879140976452404e-29,1.6106988119560598e-23,1.8218884258501799e-17,3.4477285560366398e-17
0.41020020020019998,1.8323638211460701e-19,1.9831821905124796e-18,4.3482286535025299e-28,9.0664309677681194e-23,2.2649331544802798e-17,4.1508516476800503e-17
0.43021021021021,3.0110768189719201e-19,2.8442021490305002e-18,5.5600725734629303e-27,4.0294506354524903e-22,2.7728109933948301e-17,4.9333259480478897e-17
0.45022022022022001,4.7384648950518601e-19,3.9541189331916099e-18,5.12347265121466e-26,1.4728653572935899e-21,3.3486002896646297e-17,5.7964549269228596e-17
0.47023023023022997,7.1809457889530999e-19,5.3506728434031597e-18,3.5924057102881497e-25,4.5736974030439904e-21,3.9950216761397804e-17,6.74114288981613e-17
0.49024024024023999,1.05288060800591e-18,7.0715602743784089e-18,2.0019412950091102e-24,1.2383931858644802e-20,4.71444901512621e-17,7.7679330341248196e-17
0.51025025025024995,1.4994638000384598e-18,9.1539696568234597e-18,9.1842431986199608e-24,2.9859969157767999e-20,5.5089238469820199e-17,8.8770438469296807e-17
0.53026026026025996,2.0811277526242101e-18,1.1634204942569199e-17,3.5696059859527894e-23,6.5228548250979397e-20,6.3801722166531899e-17,1.0068403454109101e-16
0.55027027027026998,2.8229396073188006e-18,1.4547387562508102e-17,1.20343369310945e-22,1.30936794822267e-19,7.3296229890215402e-17,1.13416817061255e-16
0.57028028028027999,3.7514882057702196e-18,1.79272261788546e-17,3.58862843446673e-22,2.4438246400343401e-19,8.3584269614599295e-17,1.26963199102857e-16
0.59029029029029001,4.8946126786702599e-18,2.18058435149551e-17,9.62075985106231e-22,4.2828209893197798e-19,9.4674762437200113e-17,1.4131558205902501e-16
0.61030030030030002,6.2811305864458102e-18,2.6213650383941999e-17,2.3507025026754201e-21,7.1060507974885096e-19,1.0657423506172701e-16,1.5646460637657001e-16
0.63031031031031004,7.9405725304237207e-18,3.1179258278140298e-17,5.2954357020026602e-21,1.12408208481577e-18,1.1928700802300101e-16,1.7239938021075702e-16
0.65032032032031994,9.9029282286850696e-18,3.6729423226285001e-17,1.1106390201894401e-20,1.7053646442181299e-18,1.3281537754597701e-16,1.8910768717979199e-16
0.67033033033032996,1.2198407460317999e-17,4.2889014905303101e-17,2.1869518493558902e-20,2.4939546885183001e-18,1.4715978958551101e-16,2.06576174531678e-16
0.69034034034033998,1.4857218025078599e-17,4.9681006124074896e-17,4.0720351990384696e-20,3.5310361823827e-18,1.6231900510416901e-16,2.2479052309547097e-16
0.71035035035034999,1.79093619093169e-17,5.7126478748934701e-17,7.2138954715975398e-20,4.8583298455239592e-18,1.7829025603939698e-16,2.4373560039609603e-16
0.73036036036036001,2.13844501453294e-17,6.5244642916738e-17,1.2224554260390402e-19,6.51706526791412e-18,1.9506939171199301e-16,2.63395598283451e-16
0.75037037037037002,2.5311536348925801e-17,7.4052866999211405e-17,1.9907453919229298e-19,8.5471315032609713e-18,2.1265101565393e-16,2.8375415637450899e-16
0.77038038038038004,2.9718968571607901e-17,8.3566716266539203e-17,3.1280600712180899e-19,1.0986434778036899e-17,2.3102861300074902e-16,3.0479447254038899e-16
0.79039039039039005,3.46342588690402e-17,9.379999857407951e-17,4.7593698513862201e-19,1.3870464942423402e-17,2.5019466871451401e-16,3.2649940159519502e-16
0.81040040040039996,4.0083969834178001e-17,1.0476481568701601e-16,7.0338051279047202e-19,1.7232052819584398e-17,2.7014077698773295e-16,3.4885154326427503e-16
0.83041041041040997,4.6093617246902295e-17,1.1647161908349201e-16,1.012486165263e-18,2.1101288827951401e-17,2.9085774223494305e-16,3.7183332042972898e-16
0.85042042042041999,5.2687587934320599e-17,1.2892926925351299e-16,1.42298193598405e-18,2.5505568086949698e-17,3.1233567211316801e-16,3.9542704857244702e-16
0.87043043043043,5.9889071904418008e-17,1.4214509765132802e-16,1.9568426551226999e-18,3.0469727041487601e-17,3.3456406303044601e-16,4.1961499725437703e-16
0.89044044044044002,6.7720007801974197e-17,1.56124970572741e-16,2.6380943981109799e-18,3.6016239750840098e-17,3.57531878607071e-16,4.4437944441277405e-16
0.91045045045045003,7.6201040734067399e-17,1.7087335432305801e-16,3.4925673157733799e-18,4.2165446894555298e-17,3.8122762155041403e-16,4.6970272417062598e-16
