observation_id,observable,reduced_field_Td,value_si,si_unit,published_value,published_unit,relative_uncertainty_min,relative_uncertainty_max,source_table,source_pdf_page,source_print_page,measurement_method,gas_temperature_K_min,gas_temperature_K_max,pressure_Torr_min,pressure_Torr_max,supports_cross_section_validation,supports_reactor_state_prediction,supports_wafer_flux,supports_feature_depth
gonzalez_2018_cl2_alpha_minus_eta_300Td,effective_ionization_coefficient,300,4.910000e-22,m^2,0.491,10^-17 cm^2,0.05,0.09,Table A2,7,6,pulsed_townsend_transient,293,298,1.1,6.1,true,false,false,false
gonzalez_2018_cl2_alpha_minus_eta_310Td,effective_ionization_coefficient,310,8.900000e-22,m^2,0.890,10^-17 cm^2,0.05,0.09,Table A2,7,6,pulsed_townsend_transient,293,298,1.1,6.1,true,false,false,false
gonzalez_2018_cl2_alpha_minus_eta_320Td,effective_ionization_coefficient,320,1.096000e-21,m^2,1.096,10^-17 cm^2,0.05,0.09,Table A2,7,6,pulsed_townsend_transient,293,298,1.1,6.1,true,false,false,false
gonzalez_2018_cl2_alpha_minus_eta_340Td,effective_ionization_coefficient,340,1.618000e-21,m^2,1.618,10^-17 cm^2,0.05,0.09,Table A2,7,6,pulsed_townsend_transient,293,298,1.1,6.1,true,false,false,false
gonzalez_2018_cl2_alpha_minus_eta_360Td,effective_ionization_coefficient,360,2.220000e-21,m^2,2.220,10^-17 cm^2,0.05,0.09,Table A2,7,6,pulsed_townsend_transient,293,298,1.1,6.1,true,false,false,false
gonzalez_2018_cl2_alpha_minus_eta_380Td,effective_ionization_coefficient,380,2.789000e-21,m^2,2.789,10^-17 cm^2,0.05,0.09,Table A2,7,6,pulsed_townsend_transient,293,298,1.1,6.1,true,false,false,false
gonzalez_2018_cl2_alpha_minus_eta_400Td,effective_ionization_coefficient,400,3.490000e-21,m^2,3.490,10^-17 cm^2,0.05,0.09,Table A2,7,6,pulsed_townsend_transient,293,298,1.1,6.1,true,false,false,false
gonzalez_2018_cl2_alpha_minus_eta_420Td,effective_ionization_coefficient,420,4.000000e-21,m^2,4.000,10^-17 cm^2,0.05,0.09,Table A2,7,6,pulsed_townsend_transient,293,298,1.1,6.1,true,false,false,false
gonzalez_2018_cl2_alpha_minus_eta_440Td,effective_ionization_coefficient,440,4.610000e-21,m^2,4.610,10^-17 cm^2,0.05,0.09,Table A2,7,6,pulsed_townsend_transient,293,298,1.1,6.1,true,false,false,false
gonzalez_2018_cl2_NDL_240Td,density_normalized_longitudinal_diffusion,240,1.380000e+24,m^-1 s^-1,1.38,10^22 cm^-1 s^-1,0.10,0.15,Table A3,8,7,pulsed_townsend_transient,293,298,1.1,6.1,true,false,false,false
gonzalez_2018_cl2_NDL_270Td,density_normalized_longitudinal_diffusion,270,1.590000e+24,m^-1 s^-1,1.59,10^22 cm^-1 s^-1,0.10,0.15,Table A3,8,7,pulsed_townsend_transient,293,298,1.1,6.1,true,false,false,false
gonzalez_2018_cl2_NDL_300Td,density_normalized_longitudinal_diffusion,300,1.960000e+24,m^-1 s^-1,1.96,10^22 cm^-1 s^-1,0.10,0.15,Table A3,8,7,pulsed_townsend_transient,293,298,1.1,6.1,true,false,false,false
gonzalez_2018_cl2_NDL_310Td,density_normalized_longitudinal_diffusion,310,1.870000e+24,m^-1 s^-1,1.87,10^22 cm^-1 s^-1,0.10,0.15,Table A3,8,7,pulsed_townsend_transient,293,298,1.1,6.1,true,false,false,false
gonzalez_2018_cl2_NDL_320Td,density_normalized_longitudinal_diffusion,320,2.050000e+24,m^-1 s^-1,2.05,10^22 cm^-1 s^-1,0.10,0.15,Table A3,8,7,pulsed_townsend_transient,293,298,1.1,6.1,true,false,false,false
gonzalez_2018_cl2_NDL_330Td,density_normalized_longitudinal_diffusion,330,1.980000e+24,m^-1 s^-1,1.98,10^22 cm^-1 s^-1,0.10,0.15,Table A3,8,7,pulsed_townsend_transient,293,298,1.1,6.1,true,false,false,false
gonzalez_2018_cl2_NDL_340Td,density_normalized_longitudinal_diffusion,340,2.070000e+24,m^-1 s^-1,2.07,10^22 cm^-1 s^-1,0.10,0.15,Table A3,8,7,pulsed_townsend_transient,293,298,1.1,6.1,true,false,false,false
gonzalez_2018_cl2_NDL_360Td,density_normalized_longitudinal_diffusion,360,2.260000e+24,m^-1 s^-1,2.26,10^22 cm^-1 s^-1,0.10,0.15,Table A3,8,7,pulsed_townsend_transient,293,298,1.1,6.1,true,false,false,false
