step=96 t=46.586s dt=0.514s depth=281.621nm mask_opening=46.996nm wall=46.61s
step=97 t=47.102s dt=0.5154s depth=283.979nm mask_opening=46.723nm wall=47.07s
step=98 t=47.620s dt=0.5185s depth=286.596nm mask_opening=46.371nm wall=46.80s
step=99 t=48.139s dt=0.5185s depth=289.576nm mask_opening=45.920nm wall=43.71s
step=100 t=48.660s dt=0.521s depth=292.157nm mask_opening=45.478nm wall=47.12s
step=101 t=49.183s dt=0.523s depth=294.561nm mask_opening=45.045nm wall=47.54s
step=102 t=49.708s dt=0.5249s depth=297.198nm mask_opening=44.623nm wall=44.48s
step=103 t=50.236s dt=0.5286s depth=300.228nm mask_opening=44.212nm wall=47.32s
step=104 t=50.765s dt=0.5291s depth=302.603nm mask_opening=43.826nm wall=50.42s
step=105 t=51.292s dt=0.5263s depth=305.043nm mask_opening=43.513nm wall=51.96s
step=106 t=51.814s dt=0.5225s depth=307.756nm mask_opening=43.250nm wall=52.25s
step=107 t=52.337s dt=0.5231s depth=310.678nm mask_opening=43.027nm wall=53.35s
step=108 t=52.862s dt=0.5245s depth=313.093nm mask_opening=42.816nm wall=54.21s
step=109 t=53.386s dt=0.5244s depth=315.483nm mask_opening=42.623nm wall=53.68s
step=110 t=53.916s dt=0.5299s depth=318.194nm mask_opening=42.462nm wall=54.82s
step=111 t=54.446s dt=0.5299s depth=321.001nm mask_opening=42.419nm wall=56.31s
step=112 t=54.975s dt=0.529s depth=323.245nm mask_opening=42.328nm wall=54.62s
step=113 t=55.505s dt=0.5297s depth=325.618nm mask_opening=42.198nm wall=60.47s
step=114 t=56.036s dt=0.5312s depth=328.372nm mask_opening=42.027nm wall=57.27s
step=115 t=56.566s dt=0.5307s depth=331.143nm mask_opening=41.822nm wall=55.04s
step=116 t=57.099s dt=0.5321s depth=333.420nm mask_opening=41.574nm wall=59.47s
step=117 t=57.625s dt=0.5267s depth=335.849nm mask_opening=41.298nm wall=53.60s
step=118 t=58.152s dt=0.5267s depth=338.599nm mask_opening=40.997nm wall=58.28s
step=119 t=58.678s dt=0.5265s depth=341.251nm mask_opening=40.675nm wall=57.82s
step=120 t=59.209s dt=0.5307s depth=343.392nm mask_opening=40.338nm wall=55.93s
step=121 t=59.747s dt=0.5383s depth=345.714nm mask_opening=39.985nm wall=52.83s
step=122 t=60.000s dt=0.2527s depth=346.833nm mask_opening=39.820nm wall=31.79s
