experiment_key,lot_number,wafer_number,X,Y,preox_thickness,postox_thickness,postox_thickness_nan,stepheight,oxide_etch,si_etch
2024-08-21_02,9,2,-57000,76000,0.9968,0.2775,0.2775,50.1788,0.7193,49.9013
2024-08-21_02,9,2,-38000,76000,0.998277573,0.4069,0.4069,44.2843,0.591377573,43.8774
2024-08-21_02,9,2,-19000,76000,0.999649292,0.3803,0.3803,42.4151,0.619349292,42.0348
2024-08-21_02,9,2,0,76000,0.9996,0.3714,0.3714,41.9372,0.6282,41.5658
2024-08-21_02,9,2,19000,76000,1.000659902,0.383,0.383,42.327,0.617659902,41.944
2024-08-21_02,9,2,38000,76000,1.003400837,0.4119,0.4119,44.0695,0.591500837,43.6576
2024-08-21_02,9,2,57000,76000,1.0054,0.276,0.276,49.6251,0.7294,49.3491
2024-08-21_02,9,2,-19000,95000,0.999671036,0.21,0.21,49.1388,0.789671036,48.9288
2024-08-21_02,9,2,0,95000,0.9996,0.2086,0.2086,49.569,0.791,49.3604
2024-08-21_02,9,2,19000,95000,1.000462389,0.21,0.21,49.417,0.790462389,49.207
2024-08-21_03,9,3,-19000,-95000,1.003875769,0.3089,0.3089,52.5369,0.694975769,52.228
2024-08-21_03,9,3,0,-95000,1.0054,0.3271,0.3271,52.3808,0.6783,52.0537
2024-08-21_03,9,3,19000,-95000,1.003927574,0.3201,0.3201,52.6609,0.683827574,52.3408
2024-08-21_03,9,3,-57000,-76000,1.0014,0.3318,0.3318,52.3632,0.6696,52.0314
2024-08-21_03,9,3,-38000,-76000,1.001737125,0.2868,0.2868,46.6654,0.714937125,46.3786
2024-08-21_03,9,3,-19000,-76000,1.002932023,0.2634,0.2634,44.8717,0.739532023,44.6083
2024-08-21_03,9,3,0,-76000,1.00380268,0.2086,0.2086,44.4238,0.79520268,44.2152
2024-08-21_03,9,3,19000,-76000,1.003021746,0.2681,0.2681,44.7699,0.734921746,44.5018
2024-08-21_03,9,3,38000,-76000,1.002210659,0.2868,0.2868,46.4071,0.715410659,46.1203
2024-08-21_03,9,3,57000,-76000,1.002,0.3192,0.3192,51.9263,0.6828,51.6071
2024-08-21_03,9,3,-76000,-57000,1.0014,0.3225,0.3225,52.1016,0.6789,51.7791
2024-08-21_03,9,3,-57000,-57000,1.00133193,0.27,0.27,45.0357,0.73133193,44.7657
2024-08-21_03,9,3,-38000,-57000,1.001546791,0.4134,0.4134,43.2472,0.588146791,42.8338
2024-08-21_03,9,3,-19000,-57000,1.002057639,0.3879,0.3879,42.8275,0.614157639,42.4396
2024-08-21_03,9,3,0,-57000,1.002375432,0.3794,0.3794,42.7451,0.622975432,42.3657
2024-08-21_03,9,3,19000,-57000,1.002227958,0.3891,0.3891,42.7431,0.613127958,42.354
2024-08-21_03,9,3,38000,-57000,1.00204857,0.4148,0.4148,43.0519,0.58724857,42.6371
2024-08-21_03,9,3,57000,-57000,1.001987899,0.27,0.27,44.6925,0.731987899,44.4225
2024-08-21_03,9,3,76000,-57000,1.002,0.315,0.315,51.5612,0.687,51.2462
2024-08-21_03,9,3,-76000,-38000,1.000813098,0.2793,0.2793,46.0041,0.721513098,45.7248
