low_frequency_power_kw,energy_eV,signed_angle_deg,probability_weight
0.0,527.3695842217129,1.8553902646593687,0.008774594749106582
0.0,528.699404747449,2.087373925249208,0.00823634926334477
0.0,527.7030227122608,2.3566635135213514,0.006234044464366008
0.0,527.272582260284,2.6327122530216367,0.004163516185447551
0.0,524.774737606233,2.8623613812296598,0.002354342721487609
0.0,524.346240255758,3.084331192456279,0.0027805645068387707
0.0,525.2526445240284,3.3584620187284115,0.0020940125730385716
0.0,524.2311023751496,3.6304759297053737,0.0015859044967014503
0.0,523.0058853089503,3.8632212563667774,0.0008816538898729382
0.0,522.4344616189242,4.082781206088096,0.001115096103130147
0.0,519.8355078286376,4.355194632874633,0.0008031925908726672
0.0,520.2468058516426,4.607724746466234,0.00044763451502091435
0.0,517.2413793103449,4.818181818181818,4.367949945415644e-05
4.0,492.61083743842363,-0.8181818181818182,5.553420825655582e-06
4.0,492.6108374384237,-0.6363636363636364,1.6660262476966746e-05
4.0,489.7712615131249,-0.34116922307990144,3.211366010913961e-05
4.0,489.2581400266815,-0.13636363636363638,2.7198749221974967e-05
4.0,489.2581400266815,0.09090909090909091,4.079812383296245e-05
4.0,490.769189706093,0.3372400146486583,2.475749691927691e-05
4.0,492.6108374384237,0.6363636363636364,1.6660262476966746e-05
4.0,492.61083743842363,0.8181818181818182,5.553420825655582e-06
4.0,710.1806239737275,-2.5454545454545454,2.2213683302622328e-05
4.0,692.9508176565448,-2.3457329681546755,0.0002077315958628548
4.0,661.688257492594,-2.1277236576626795,0.00027829400390810957
4.0,652.2580726836876,-1.9023118760380837,0.0006005820061714635
4.0,644.6810022085842,-1.630310803784675,0.0008641921007444646
4.0,649.2188210868266,-1.3533609131672142,0.0013492393942902787
4.0,644.1203376189502,-1.1338503760068444,0.0011869009754803593
4.0,645.2946023449472,-0.9024217853369393,0.0024377003165601363
4.0,647.4970436074532,-0.6316842162987609,0.003212924841609039
4.0,645.6026280500416,-0.35403352296971535,0.004328505841685007
4.0,653.4119948628758,-0.1395975395954447,0.0034969501411351404
4.0,646.8907653450013,0.08803468499660001,0.004726391829936621
4.0,640.0118916336062,0.36110466072629116,0.0038563575684426657
4.0,648.0847245646773,0.6300016368444918,0.0030053668106717318
4.0,646.0289113670434,0.8607386549065039,0.001584259731020627
4.0,645.9290467609044,1.0847788597512416,0.0017152452921692296
4.0,648.7766761877064,1.3546791163582284,0.0011823439837014968
4.0,646.1101983719835,1.6281376107523418,0.0007756445955493781
4.0,654.1460564693507,1.8615362033171388,0.0003796662184179576
4.0,665.7184344236708,2.0758691162868397,0.0003844195300538973
4.0,705.1706041674632,2.3433312873854657,0.0001501612233233657
4.0,755.336617405583,-2.272727272727273,5.553420825655582e-06
4.0,793.1034482758624,-2.10909090909091,8.33013123848337e-05
4.0,847.1724816190238,-1.8844316392573786,0.000378350979598265
4.0,864.3934524313316,-1.6291937475863396,0.0006763477252175231
4.0,865.6643864649367,-1.3566238543714118,0.0009923093182491755
4.0,860.6468660047173,-1.1321415652490974,0.0009348735453947237
4.0,869.477135085797,-0.9038850633147261,0.002046625436802212
4.0,864.7706334018642,-0.629744500873289,0.0026971640857942486
4.0,871.3242498328877,-0.35983511945941027,0.003940515978367404
4.0,873.5782639462693,-0.13636363636363633,0.002831344819139381
4.0,873.5491185266426,0.0902982763809571,0.004218672140150065
4.0,868.8457182415524,0.3567449212635967,0.0036449958114611472
4.0,867.5334796297266,0.6290028835608175,0.0024639856703069537
4.0,868.3243392225917,0.8610626276006451,0.001319612546683283
4.0,863.2452034539376,1.0812643173243943,0.001339528010595265
4.0,866.6517271727909,1.356741445559949,0.0008888005201410656
4.0,864.1874200733403,1.6283804766995191,0.000612285038032558
4.0,838.9098386974756,1.851626392288744,0.0002273221133608277
4.0,790.1091471071186,2.0320855614973263,9.440815403614489e-05
4.0,1059.7974822112753,-1.8181818181818188,6.664104990786697e-05
4.0,1120.8337156466591,-1.6318004979209082,0.000534142049742263
4.0,1121.7090585776623,-1.3573299447033365,0.00082937074868033
4.0,1123.0891026517206,-1.1318121535665524,0.000735734081205821
4.0,1120.4672650222126,-0.900519855129666,0.0018046335863148295
4.0,1125.164206965677,-0.6355552183073024,0.0023433533166585066
4.0,1121.3078999520326,-0.35374283380598087,0.003785115663897878
4.0,1124.9440694205127,-0.13636363636363635,0.0029071389573046462
4.0,1124.2266938609562,0.0897025366702881,0.004303590763501446
4.0,1120.6880463071097,0.3530132084007547,0.0033600817208158645
4.0,1124.4848214109124,0.63176670528084,0.002266444688971639
4.0,1120.1512148569025,0.8582840102876114,0.0011049539923458016
4.0,1120.5484948267922,1.0833302166892278,0.00103761328371924
4.0,1119.776336580219,1.3541340810495521,0.0007328902073754509
4.0,1112.1691673148819,1.6092511135262262,0.000403590336467071
4.0,1280.7881773399015,-1.8181818181818183,3.887394577958908e-05
4.0,1364.468741831427,-1.6199689841062457,0.00044930482223843276
4.0,1370.4268528650439,-1.3546292298274045,0.0007626331685025895
4.0,1367.197556878844,-1.131652216823389,0.0007036532866841359
4.0,1368.732093962363,-0.8995446829336357,0.0017465947738092692
4.0,1367.663223913109,-0.6285121759160238,0.002580548873676561
4.0,1373.1567778505585,-0.35758822016215125,0.003922212723235667
4.0,1374.181677361116,-0.13636363636363635,0.0028934954717885187
4.0,1374.1618955482932,0.09067080749483684,0.004328896660644012
4.0,1370.6579162595233,0.3560233066717833,0.0035842537900715762
4.0,1370.9585460839835,0.6282807554336636,0.002299624570936287
4.0,1367.1159113032877,0.8586936902054308,0.0010789251712837445
4.0,1368.9814675176835,1.0832627900303078,0.001004841398922623
4.0,1369.1471914346994,1.3543306369442032,0.00067583985088071
4.0,1355.3803689828915,1.5970332151097981,0.0003136044920064496
4.0,1559.9343185550088,-1.8181818181818188,6.108762908221139e-05
4.0,1622.404052324411,-1.6323951478937753,0.0005463157232544696
4.0,1621.0445752437815,-1.3569541754514554,0.0008603658278134473
4.0,1618.4824663441934,-1.1301574274371318,0.0008311453042577775
4.0,1622.5599198537225,-0.9028272518551462,0.0020853800926865593
4.0,1617.5808034094325,-0.6249869398844116,0.003200357714996625
4.0,1622.9027817063243,-0.3599609837746936,0.0046486004281638856
4.0,1614.9082889128265,-0.13790896253334273,0.0036975163796057636
4.0,1616.3866631009917,0.0888150130970552,0.0053919216976436495
4.0,1624.1008574119944,0.3611424254867708,0.004381730013891915
4.0,1621.66785121666,0.6226830231978095,0.0028566906986410476
4.0,1621.0670943191496,0.8598300096717042,0.0013422579287738076
4.0,1618.6699314406349,1.078890633028231,0.0011566574785578149
4.0,1621.3770377716385,1.3533841210268962,0.0007505470248339667
4.0,1614.3505880274424,1.6082919641059692,0.00041070063505718073
4.0,1564.0394088669948,1.8181818181818183,2.2213683302622328e-05
4.0,1868.6868686868684,-1.84297520661157,0.00018326288724663422
4.0,1875.4152080371905,-1.6271046927941706,0.0005845330129503952
4.0,1877.0257616128345,-1.354547114527357,0.0009478966864187655
4.0,1875.9101728346982,-1.1285537870889764,0.001017859712211343
4.0,1873.8797078721714,-0.9043197724627321,0.0023099923160115766
4.0,1875.9655707672125,-0.6307976178241458,0.004052348624463764
4.0,1876.233344506161,-0.34330081125080775,0.007016323873509435
4.0,1887.7846780347975,-0.13639599361549026,0.00698929654757278
4.0,1885.7612489672815,0.08756886496605144,0.010115892969874793
4.0,1871.3066327927459,0.3500364904593067,0.0054593971103785
4.0,1874.394114941472,0.6220384448588574,0.0034250099913494766
4.0,1876.5929083660296,0.8621300463475261,0.0014734238313673718
4.0,1875.5316122425163,1.077738930994701,0.0013823303298025923
4.0,1875.4704780255151,1.3575028858616771,0.0008183747473247375
4.0,1876.7686671805318,1.6201362439607447,0.00047551261112592253
4.0,1855.5008210180629,1.8272727272727278,5.553420825655581e-05
4.0,2132.474993642589,-1.888936441317476,0.00040671288645684715
4.0,2127.7175558081353,-1.628368228071172,0.0007219740876258002
4.0,2127.792079408807,-1.3501000225458117,0.0011646179257195038
4.0,2128.9443996890313,-1.1304609526029041,0.0013159690450421457
4.0,2130.189818618676,-0.8937621659886319,0.0030233830510238632
4.0,2126.2265847736367,-0.627770655370456,0.004972657493768278
4.0,2129.226497535404,-0.35680471952459475,0.01088203154614447
4.0,2121.9776513403435,-0.13637664261036941,0.008037173417941957
4.0,2121.8563732000857,0.089920328750839,0.011938667307776641
4.0,2132.869132046009,0.3490398104215623,0.009218076791131883
4.0,2128.8259344271055,0.6296007220280051,0.00425255359816587
4.0,2128.32612436169,0.8579828963907441,0.0017930719140073134
4.0,2127.8291117697586,1.07822444931266,0.001817130533659596
4.0,2128.2876645001916,1.354475613176639,0.0009740122471653953
4.0,2127.8153440705355,1.6249202765941066,0.0006308195943595242
4.0,2136.406286652592,1.8484848484848486,0.00023324367467753446
4.0,2397.3727422003285,-2.0909090909090904,0.00013883552064138956
4.0,2377.4063586440634,-1.9020785781351053,0.0005460891719474777
4.0,2377.1890856236955,-1.6325332603495908,0.0008347684127839261
4.0,2379.3405597689048,-1.34892753507669,0.0015196091173551684
4.0,2378.047581575847,-1.13503296526894,0.0014570145553315541
4.0,2379.1977343049443,-0.9002544789919344,0.003871653002589473
4.0,2381.1380742160477,-0.6126722153655464,0.008588952689800639
