source_slide,source_panel,boundary_condition,quantity,cf2_fluence_1e15_cm2,digitized_value,digitization_uncertainty,marker_center_x_px,marker_center_y_px,trace_color,evidence_grade,source_image_sha256
slide21,10_percent_F_surface_state,CF2/F/Ar+=8/1/1; normal 200 eV Ar+; Si,surface_C_uptake_ML,1198.997,11.835749,0.750000,439,362,blue,primary_author_seminar_not_peer_reviewed,ff8d8610a8785c37046c86b69702314725be72a784635a5e57cdd75b1a425bd5
slide21,10_percent_F_surface_state,CF2/F/Ar+=8/1/1; normal 200 eV Ar+; Si,surface_C_uptake_ML,1399.666,11.835749,0.750000,479,362,blue,primary_author_seminar_not_peer_reviewed,ff8d8610a8785c37046c86b69702314725be72a784635a5e57cdd75b1a425bd5
slide21,10_percent_F_surface_state,CF2/F/Ar+=8/1/1; normal 200 eV Ar+; Si,cumulative_Si_etch_ML,200.669,11.111111,1.000000,240,365,black,primary_author_seminar_not_peer_reviewed,ff8d8610a8785c37046c86b69702314725be72a784635a5e57cdd75b1a425bd5
slide21,10_percent_F_surface_state,CF2/F/Ar+=8/1/1; normal 200 eV Ar+; Si,cumulative_Si_etch_ML,401.338,19.082126,1.000000,280,332,black,primary_author_seminar_not_peer_reviewed,ff8d8610a8785c37046c86b69702314725be72a784635a5e57cdd75b1a425bd5
slide21,10_percent_F_surface_state,CF2/F/Ar+=8/1/1; normal 200 eV Ar+; Si,cumulative_Si_etch_ML,602.007,25.120773,1.000000,320,307,black,primary_author_seminar_not_peer_reviewed,ff8d8610a8785c37046c86b69702314725be72a784635a5e57cdd75b1a425bd5
slide21,10_percent_F_surface_state,CF2/F/Ar+=8/1/1; normal 200 eV Ar+; Si,cumulative_Si_etch_ML,797.659,30.434783,1.000000,359,285,black,primary_author_seminar_not_peer_reviewed,ff8d8610a8785c37046c86b69702314725be72a784635a5e57cdd75b1a425bd5
slide21,10_percent_F_surface_state,CF2/F/Ar+=8/1/1; normal 200 eV Ar+; Si,cumulative_Si_etch_ML,998.328,35.748792,1.000000,399,263,black,primary_author_seminar_not_peer_reviewed,ff8d8610a8785c37046c86b69702314725be72a784635a5e57cdd75b1a425bd5
slide21,10_percent_F_surface_state,CF2/F/Ar+=8/1/1; normal 200 eV Ar+; Si,cumulative_Si_etch_ML,1198.997,40.096618,1.000000,439,245,black,primary_author_seminar_not_peer_reviewed,ff8d8610a8785c37046c86b69702314725be72a784635a5e57cdd75b1a425bd5
slide21,10_percent_F_surface_state,CF2/F/Ar+=8/1/1; normal 200 eV Ar+; Si,cumulative_Si_etch_ML,1399.666,43.719807,1.000000,479,230,black,primary_author_seminar_not_peer_reviewed,ff8d8610a8785c37046c86b69702314725be72a784635a5e57cdd75b1a425bd5
slide21,10_percent_F_etch_yield,CF2/F/Ar+=8/1/1; normal 200 eV Ar+; Si,Si_etch_yield_per_ion,199.675,0.275113,0.010000,644,260,black,primary_author_seminar_not_peer_reviewed,ff8d8610a8785c37046c86b69702314725be72a784635a5e57cdd75b1a425bd5
