source_figure,cycle_duration_s,timing,initial_width_nm,etch_rate_nm_per_bias_min,cumulative_bias_time_s,derived_etch_depth_nm,plotted_lower_rate_nm_per_bias_min,plotted_upper_rate_nm_per_bias_min,marker_center_x_px,marker_center_y_px,upper_cap_y_px,lower_cap_y_px,digitization_rate_uncertainty_nm_per_bias_min,digitization_depth_uncertainty_nm,measurement_uncertainty_semantics,split,boundary_evidence_tier,observation_id,source_image_sha256
Figure 6f,8,II,90,479.953,112.5,899.912,464.665,495.242,1521.0,279.0,265.0,293.0,4.0,7.500,not_reported,held_out_transfer,B_facility_conditioned,yoshie_fig6_II_w90,202e04674548182e40d2be4c7677cb1b1124cd9056f87baa13a1525495a9f7fe
Figure 6f,8,II,100,506.162,112.5,949.054,490.874,521.451,1656.0,255.0,241.0,269.0,4.0,7.500,not_reported,held_out_transfer,B_facility_conditioned,yoshie_fig6_II_w100,202e04674548182e40d2be4c7677cb1b1124cd9056f87baa13a1525495a9f7fe
Figure 6f,8,II,110,521.451,112.5,977.720,507.254,536.739,1787.0,241.0,227.0,254.0,4.0,7.500,not_reported,held_out_transfer,B_facility_conditioned,yoshie_fig6_II_w110,202e04674548182e40d2be4c7677cb1b1124cd9056f87baa13a1525495a9f7fe
Figure 6f,8,II,120,536.193,112.5,1005.363,522.543,549.844,1919.0,227.5,215.0,240.0,4.0,7.500,not_reported,held_out_transfer,B_facility_conditioned,yoshie_fig6_II_w120,202e04674548182e40d2be4c7677cb1b1124cd9056f87baa13a1525495a9f7fe
Figure 6f,8,II,130,547.660,112.5,1026.862,532.371,562.949,2042.0,217.0,203.0,231.0,4.0,7.500,not_reported,held_out_transfer,B_facility_conditioned,yoshie_fig6_II_w130,202e04674548182e40d2be4c7677cb1b1124cd9056f87baa13a1525495a9f7fe
Figure 6f,8,II,140,560.218,112.5,1050.410,545.476,574.961,2171.0,205.5,192.0,219.0,4.0,7.500,not_reported,held_out_transfer,B_facility_conditioned,yoshie_fig6_II_w140,202e04674548182e40d2be4c7677cb1b1124cd9056f87baa13a1525495a9f7fe
Figure 6f,8,III,80,321.061,112.5,601.989,306.318,335.803,1397.0,424.5,411.0,438.0,4.0,7.500,not_reported,held_out_transfer,B_facility_conditioned,yoshie_fig6_III_w80,202e04674548182e40d2be4c7677cb1b1124cd9056f87baa13a1525495a9f7fe
Figure 6f,8,III,90,352.730,112.5,661.369,340.172,365.289,1521.0,395.5,384.0,407.0,4.0,7.500,not_reported,held_out_transfer,B_facility_conditioned,yoshie_fig6_III_w90,202e04674548182e40d2be4c7677cb1b1124cd9056f87baa13a1525495a9f7fe
Figure 6f,8,III,100,366.381,112.5,686.964,353.276,381.669,1656.0,383.0,369.0,395.0,4.0,7.500,not_reported,held_out_transfer,B_facility_conditioned,yoshie_fig6_III_w100,202e04674548182e40d2be4c7677cb1b1124cd9056f87baa13a1525495a9f7fe
Figure 6f,8,III,110,382.215,112.5,716.654,369.657,395.866,1787.0,368.5,356.0,380.0,4.0,7.500,not_reported,held_out_transfer,B_facility_conditioned,yoshie_fig6_III_w110,202e04674548182e40d2be4c7677cb1b1124cd9056f87baa13a1525495a9f7fe
Figure 6f,8,III,120,393.682,112.5,738.153,381.669,405.694,1919.0,358.0,347.0,369.0,4.0,7.500,not_reported,held_out_transfer,B_facility_conditioned,yoshie_fig6_III_w120,202e04674548182e40d2be4c7677cb1b1124cd9056f87baa13a1525495a9f7fe
Figure 6f,8,III,130,398.596,112.5,747.367,387.129,410.062,2042.0,353.5,343.0,364.0,4.0,7.500,not_reported,held_out_transfer,B_facility_conditioned,yoshie_fig6_III_w130,202e04674548182e40d2be4c7677cb1b1124cd9056f87baa13a1525495a9f7fe
Figure 6f,8,III,140,403.510,112.5,756.582,392.590,415.523,2171.0,349.0,338.0,359.0,4.0,7.500,not_reported,held_out_transfer,B_facility_conditioned,yoshie_fig6_III_w140,202e04674548182e40d2be4c7677cb1b1124cd9056f87baa13a1525495a9f7fe
Figure 6f,8,IV,80,217.317,112.5,407.469,201.482,233.151,1397.0,519.5,505.0,534.0,4.0,7.500,not_reported,held_out_transfer,B_facility_conditioned,yoshie_fig6_IV_w80,202e04674548182e40d2be4c7677cb1b1124cd9056f87baa13a1525495a9f7fe
Figure 6f,8,IV,90,222.777,112.5,417.707,209.126,236.427,1521.0,514.5,502.0,527.0,4.0,7.500,not_reported,held_out_transfer,B_facility_conditioned,yoshie_fig6_IV_w90,202e04674548182e40d2be4c7677cb1b1124cd9056f87baa13a1525495a9f7fe
Figure 6f,8,IV,100,222.777,112.5,417.707,209.126,236.427,1656.0,514.5,502.0,527.0,4.0,7.500,not_reported,held_out_transfer,B_facility_conditioned,yoshie_fig6_IV_w100,202e04674548182e40d2be4c7677cb1b1124cd9056f87baa13a1525495a9f7fe
Figure 6f,8,IV,110,228.237,112.5,427.945,213.495,242.980,1787.0,509.5,496.0,523.0,4.0,7.500,not_reported,held_out_transfer,B_facility_conditioned,yoshie_fig6_IV_w110,202e04674548182e40d2be4c7677cb1b1124cd9056f87baa13a1525495a9f7fe
Figure 6f,8,IV,120,228.237,112.5,427.945,213.495,242.980,1919.0,509.5,496.0,523.0,4.0,7.500,not_reported,held_out_transfer,B_facility_conditioned,yoshie_fig6_IV_w120,202e04674548182e40d2be4c7677cb1b1124cd9056f87baa13a1525495a9f7fe
Figure 6f,8,IV,130,228.237,112.5,427.945,213.495,242.980,2042.0,509.5,496.0,523.0,4.0,7.500,not_reported,held_out_transfer,B_facility_conditioned,yoshie_fig6_IV_w130,202e04674548182e40d2be4c7677cb1b1124cd9056f87baa13a1525495a9f7fe
Figure 6f,8,IV,140,227.691,112.5,426.921,212.402,242.980,2171.0,510.0,496.0,524.0,4.0,7.500,not_reported,held_out_transfer,B_facility_conditioned,yoshie_fig6_IV_w140,202e04674548182e40d2be4c7677cb1b1124cd9056f87baa13a1525495a9f7fe
