step=141 t=20.934s dt=0.1526s depth=408.890nm mask_opening=60.943nm wall=33.24s
step=142 t=21.087s dt=0.1534s depth=411.721nm mask_opening=60.779nm wall=34.91s
step=143 t=21.241s dt=0.1537s depth=414.058nm mask_opening=60.620nm wall=34.17s
step=144 t=21.395s dt=0.1539s depth=416.766nm mask_opening=60.465nm wall=33.69s
step=145 t=21.550s dt=0.1552s depth=419.790nm mask_opening=60.312nm wall=32.59s
step=146 t=21.706s dt=0.1555s depth=422.524nm mask_opening=60.162nm wall=34.72s
step=147 t=21.861s dt=0.1556s depth=425.093nm mask_opening=60.016nm wall=33.78s
step=148 t=22.017s dt=0.1559s depth=427.973nm mask_opening=59.871nm wall=34.57s
step=149 t=22.173s dt=0.1557s depth=430.935nm mask_opening=59.729nm wall=33.87s
step=150 t=22.328s dt=0.1553s depth=433.308nm mask_opening=59.588nm wall=35.04s
step=151 t=22.484s dt=0.1559s depth=435.970nm mask_opening=59.408nm wall=35.70s
step=152 t=22.641s dt=0.1568s depth=438.919nm mask_opening=59.164nm wall=34.81s
step=153 t=22.798s dt=0.1569s depth=441.773nm mask_opening=58.934nm wall=35.25s
step=154 t=22.955s dt=0.1572s depth=444.315nm mask_opening=58.724nm wall=35.19s
step=155 t=23.113s dt=0.1583s depth=447.117nm mask_opening=58.538nm wall=34.32s
step=156 t=23.272s dt=0.1585s depth=450.156nm mask_opening=58.357nm wall=33.01s
step=157 t=23.430s dt=0.1586s depth=452.601nm mask_opening=58.199nm wall=33.24s
step=158 t=23.603s dt=0.1727s depth=455.498nm mask_opening=58.054nm wall=35.69s
step=159 t=23.762s dt=0.1587s depth=458.396nm mask_opening=57.951nm wall=32.26s
step=160 t=23.920s dt=0.1586s depth=461.303nm mask_opening=57.878nm wall=33.84s
step=161 t=24.079s dt=0.1587s depth=463.733nm mask_opening=57.835nm wall=35.36s
step=162 t=24.237s dt=0.1585s depth=466.458nm mask_opening=57.824nm wall=35.42s
step=163 t=24.396s dt=0.1581s depth=469.443nm mask_opening=57.733nm wall=34.94s
step=164 t=24.554s dt=0.1581s depth=472.268nm mask_opening=57.600nm wall=35.92s
step=165 t=24.712s dt=0.1581s depth=474.893nm mask_opening=57.470nm wall=36.76s
step=166 t=24.870s dt=0.1577s depth=477.749nm mask_opening=57.340nm wall=35.13s
step=167 t=25.027s dt=0.157s depth=480.712nm mask_opening=57.211nm wall=34.92s
step=168 t=25.184s dt=0.1577s depth=483.136nm mask_opening=57.016nm wall=36.32s
step=169 t=25.342s dt=0.1578s depth=485.810nm mask_opening=56.803nm wall=35.25s
step=170 t=25.500s dt=0.1578s depth=488.727nm mask_opening=56.605nm wall=35.22s
step=171 t=25.658s dt=0.158s depth=491.607nm mask_opening=56.428nm wall=34.68s
step=172 t=25.816s dt=0.1581s depth=494.146nm mask_opening=56.277nm wall=35.09s
step=173 t=25.974s dt=0.1581s depth=496.914nm mask_opening=56.155nm wall=35.27s
step=174 t=26.133s dt=0.1584s depth=499.942nm mask_opening=56.066nm wall=34.95s
step=175 t=26.291s dt=0.1588s depth=502.667nm mask_opening=56.013nm wall=33.48s
step=176 t=26.453s dt=0.1613s depth=505.315nm mask_opening=55.988nm wall=35.53s
step=177 t=26.611s dt=0.1588s depth=508.175nm mask_opening=55.852nm wall=35.14s
step=178 t=26.770s dt=0.159s depth=511.105nm mask_opening=55.716nm wall=36.42s
step=179 t=26.929s dt=0.1585s depth=513.515nm mask_opening=55.566nm wall=35.98s
step=180 t=27.087s dt=0.1582s depth=516.190nm mask_opening=55.336nm wall=35.65s
step=181 t=27.246s dt=0.1585s depth=519.121nm mask_opening=55.118nm wall=37.34s
step=182 t=27.405s dt=0.159s depth=521.926nm mask_opening=54.913nm wall=37.52s
step=183 t=27.564s dt=0.1593s depth=524.474nm mask_opening=54.722nm wall=35.10s
step=184 t=27.724s dt=0.1597s depth=527.273nm mask_opening=54.553nm wall=31.90s
step=185 t=27.883s dt=0.1597s depth=530.289nm mask_opening=54.413nm wall=32.77s
step=186 t=28.042s dt=0.1587s depth=532.652nm mask_opening=54.314nm wall=32.07s
step=187 t=28.202s dt=0.1601s depth=535.297nm mask_opening=54.257nm wall=34.62s
step=188 t=28.362s dt=0.1599s depth=538.192nm mask_opening=54.234nm wall=34.08s
step=189 t=28.522s dt=0.1598s depth=541.126nm mask_opening=54.123nm wall=34.36s
step=190 t=28.681s dt=0.1594s depth=543.552nm mask_opening=53.971nm wall=34.26s
step=191 t=28.840s dt=0.1585s depth=546.230nm mask_opening=53.819nm wall=34.62s
step=192 t=28.999s dt=0.1587s depth=549.205nm mask_opening=53.665nm wall=36.20s
step=193 t=29.157s dt=0.1589s depth=551.995nm mask_opening=53.510nm wall=36.09s
step=194 t=29.317s dt=0.1591s depth=554.514nm mask_opening=53.354nm wall=36.19s
step=195 t=29.476s dt=0.1591s depth=557.310nm mask_opening=53.197nm wall=34.66s
step=196 t=29.635s dt=0.1595s depth=560.332nm mask_opening=53.039nm wall=33.42s
step=197 t=29.794s dt=0.1592s depth=562.686nm mask_opening=52.879nm wall=31.49s
step=198 t=29.967s dt=0.1722s depth=565.495nm mask_opening=52.705nm wall=33.95s
step=199 t=30.126s dt=0.1598s depth=568.424nm mask_opening=52.544nm wall=31.56s
step=200 t=30.286s dt=0.1593s depth=571.296nm mask_opening=52.382nm wall=32.80s
step=201 t=30.445s dt=0.1592s depth=573.666nm mask_opening=52.204nm wall=33.06s
step=202 t=30.605s dt=0.1597s depth=576.298nm mask_opening=52.027nm wall=33.01s
step=203 t=30.765s dt=0.1601s depth=579.285nm mask_opening=51.828nm wall=35.21s
step=204 t=30.925s dt=0.1599s depth=582.026nm mask_opening=51.630nm wall=34.02s
step=205 t=31.085s dt=0.1603s depth=584.481nm mask_opening=51.432nm wall=35.74s
