width_nm,pitch_nm,profile_count,etch_depth_min_nm,etch_depth_max_nm,top_cd_min_nm,top_cd_max_nm,middle_cd_min_nm,middle_cd_max_nm,bottom_cd_min_nm,bottom_cd_max_nm,sidewall_angle_min_deg,sidewall_angle_max_deg,bow_min_nm,bow_max_nm,cr_center_remaining_min_nm,cr_center_remaining_max_nm,cr_center_exhausted_fraction,cr_layer_retired_fraction,terminal_reasons
155.0,350.0,16,677.1340835289874,678.5656261208354,0.0,0.0,139.95728673300917,150.64539933178403,154.2844862771341,165.6849217193854,83.02493801845307,83.51110487617,57.11482587331648,73.08906908234557,0.0,0.0,1.0,1.0,domain_gas_breakthrough;requested_duration
160.0,350.0,16,676.5449938633175,679.2731958406348,0.0,0.0,144.23775470516082,154.54452997293106,156.61890395407434,170.43784052201218,82.82072288582688,83.42309284358515,60.05993700620506,75.65204231296991,0.0,0.0,1.0,1.0,domain_gas_breakthrough;requested_duration
165.0,350.0,16,675.9852327492299,678.4532099201452,0.0,0.0,148.140102603357,158.65843029760185,159.2175641221021,174.10141090876027,82.66206056981974,83.3063700037717,62.37633031489091,77.93322788245266,0.0,0.0,1.0,1.0,domain_gas_breakthrough;requested_duration
170.0,350.0,16,675.650353427522,676.6091774185867,0.0,0.0,154.6457654754998,166.3331570067052,172.70016497123353,182.5976942402494,82.30438588997163,82.72700284994103,65.69930661232833,79.98307452108843,0.0,0.0,1.0,1.0,domain_gas_breakthrough;requested_duration
185.0,350.0,16,673.1773571559922,676.4068418378855,0.0,0.0,168.11174931772044,179.43815138716295,179.09464119388136,193.238370287785,81.83228390358516,82.45864968872382,72.76179153589753,88.32126954427143,0.0,0.0,1.0,1.0,domain_gas_breakthrough;requested_duration
190.0,350.0,16,671.9064872377174,674.6005701687818,0.0,0.0,173.70856969442136,186.79195880402617,192.5837659289215,201.2746979926028,81.48162959677731,81.87606579723038,76.27841954873124,90.05206067513838,0.0,0.0,1.0,1.0,domain_gas_breakthrough;requested_duration
195.0,350.0,16,673.1240976786721,675.7532936962189,0.0,0.0,179.99806779181594,190.63770757075818,194.1396357170396,204.4874220540768,81.36311713152993,81.8253384559966,77.75435676477754,93.1411074673278,0.0,0.0,1.0,1.0,domain_gas_breakthrough;requested_duration
225.0,350.0,16,665.6466642672792,672.2137694339305,0.0,0.0,208.0689087338218,218.67430926721306,218.91211898306096,230.97391545608355,80.15739436531605,80.7511093502329,93.77215811029617,108.47096355142817,0.0,0.0,1.0,1.0,domain_gas_breakthrough;requested_duration
230.0,350.0,16,662.1018657368184,668.8949134023738,0.0,0.0,213.00449361022493,226.631165678044,232.34240998476966,238.57520948513374,79.78686757611626,80.14718155839331,96.75932868649285,110.45996068565917,0.0,0.0,1.0,1.0,domain_gas_breakthrough;requested_duration
235.0,350.0,16,659.5595255457018,666.76151613667,0.0,0.0,219.5502234583997,230.5939585302909,233.77540943803294,241.04252357590906,79.64459434157543,80.05670963492648,99.38152760391716,113.28203985108489,0.0,0.0,1.0,1.0,domain_gas_breakthrough;requested_duration
240.0,350.0,16,656.0626847071833,666.0883300731238,0.0,0.0,223.74356455510238,234.5510949435827,235.9390503650336,245.03038742453563,79.42224359258385,79.95350280785772,102.41201419928277,115.97409272158917,0.0,0.0,1.0,1.0,domain_gas_breakthrough;requested_duration
245.0,350.0,16,654.046432804757,665.6921989364187,0.0,0.0,227.89786195590617,238.64747895282844,238.41020804396396,249.24129839783276,79.2568681562015,79.84013082632188,104.95046438842245,118.62766274565881,0.0,0.0,1.0,1.0,domain_gas_breakthrough;requested_duration
250.0,350.0,16,648.3029585023766,663.3775680290844,0.0,0.0,230.79446658157198,246.25233518883223,250.2541803082779,255.3181308447804,78.86025564313493,79.24345070496439,105.66737642743303,120.22958624286944,0.0,0.0,1.0,1.0,domain_gas_breakthrough;requested_duration
