wall_energy_factor_Te,pressure_mTorr,reference_electron_temperature_eV,reference_strokes_overlap,model_electron_temperature_eV,percent_error,electron_density_m3,metastable_density_m3,axial_ion_flux_m2_s,ion_mean_free_path_m,ambipolar_diffusion_m2_s,metastable_effective_diffusion_m2_s,maximum_normalized_residual,absorbed_power_source,absorbed_power_evidence,absorbed_power_boundary_kind,supports_prediction
5.0,15.0,2.6084528966638003,False,2.2807540888306197,-12.562956695607037,3.7718968222378506e+18,5.418062759159263e+16,1.1582904807468807e+21,0.0012361523604097245,15.339600956479938,1.4493016040116231,2.8706052865182283e-15,lee-lieberman-1994-global published Figure 3 absorbed power condition,published_range_member,published_model_condition,False
5.0,20.0,2.4656612998860097,False,2.1469016076995535,-12.927959416047646,4.873302544513278e+18,4.855921901557885e+16,1.2046567596089486e+21,0.0008985050986576369,11.011630401655035,1.2605149003775953,2.3038828689003825e-15,lee-lieberman-1994-global published Figure 3 absorbed power condition,published_range_member,published_model_condition,False
5.0,30.0,2.2887748519311266,False,1.9796078649347109,-13.507968542015384,7.080125614200259e+18,4.097895740943421e+16,1.267350075996435e+21,0.0005779700375388926,6.887738812810547,0.9999952135303048,2.5516491435717596e-15,lee-lieberman-1994-global published Figure 3 absorbed power condition,published_range_member,published_model_condition,False
5.0,50.0,2.0879414203500835,False,1.7975955840143052,-13.905842065583247,1.161681103473695e+19,3.219610913814214e+16,1.3410252477132911e+21,0.0003356831107399272,3.8073070367797883,0.7075332395459523,1.2758245717858814e-15,lee-lieberman-1994-global published Figure 3 absorbed power condition,published_range_member,published_model_condition,False
5.0,70.0,1.982929434826227,True,1.6920617640911726,-14.66858404674115,1.6362874928451473e+19,2.6998216209710984e+16,1.385858974034632e+21,0.0002361523619375715,2.576159903432043,0.5474300114498137,1.24476177413271e-15,lee-lieberman-1994-global published Figure 3 absorbed power condition,published_range_member,published_model_condition,False
5.0,100.0,1.8516308903638588,True,1.5908079043609353,-14.086121989014226,2.385248187735898e+19,2.208710025360958e+16,1.4300089337570916e+21,0.00016333767095776035,1.7036071748492312,0.40870507597287425,5.103298287143532e-15,lee-lieberman-1994-global published Figure 3 absorbed power condition,published_range_member,published_model_condition,False
5.0,150.0,1.716693673375664,True,1.487471733075828,-13.352524323637748,3.7152459997389414e+19,1.7311972326384542e+16,1.476049342973891e+21,0.00010784246646773788,1.0660000354533574,0.2873445121461595,1.275824571785883e-15,lee-lieberman-1994-global published Figure 3 absorbed power condition,published_range_member,published_model_condition,False
5.0,200.0,1.627023565469297,True,1.420986621620189,-12.663427145241071,5.125552894981758e+19,1.4447666275295496e+16,1.506188298426234e+21,8.048108785249801e-05,0.765225485444175,0.2215558826100987,3.9033626461590874e-15,lee-lieberman-1994-global published Figure 3 absorbed power condition,published_range_member,published_model_condition,False
8.0,0.4,6.914648718996029,False,7.200065958805267,4.127718578459893,1.8899085633374797e+17,8.910960173896787e+16,3.606208367907821e+20,0.07119743974316634,1126.6758282181258,2.575743908921368,2.8706052865182365e-15,lee-lieberman-1994-global published Figure 3 absorbed power condition,published_range_member,published_model_condition,False
8.0,0.5,6.341276592139076,False,6.4365921782678255,1.5030977555356397,2.247498594291677e+17,9.035984801963342e+16,3.978930098232426e+20,0.05695795179453307,805.76515435762,2.562104543327486,1.4374201517125407e-14,lee-lieberman-1994-global published Figure 3 absorbed power condition,published_range_member,published_model_condition,False
