Warp 1.15.0 initialized:
   CUDA Toolkit 12.9, Driver 13.0
   Devices:
     "cpu"      : "x86_64"
     "cuda:0"   : "NVIDIA GeForce RTX 4090" (24 GiB, sm_89, mempool enabled)
   Kernel cache:
     /root/.cache/warp/1.15.0
Module petch.boundary_transport_3d 640f97c load on device 'cuda:0' took 2.29 ms  (cached)
Module petch.threed 43d4494 load on device 'cpu' took 1.23 ms  (cached)
step=110 t=8.907s dt=0.093s depth=120.475nm mask_opening=78.787nm wall=6.67s
step=111 t=8.982s dt=0.07491s depth=121.598nm mask_opening=78.742nm wall=6.58s
step=112 t=9.067s dt=0.08501s depth=122.911nm mask_opening=78.671nm wall=7.17s
step=113 t=9.124s dt=0.05639s depth=123.811nm mask_opening=78.625nm wall=6.45s
step=114 t=9.208s dt=0.08458s depth=125.168nm mask_opening=78.561nm wall=6.91s
step=115 t=9.303s dt=0.095s depth=126.629nm mask_opening=78.502nm wall=6.89s
step=116 t=9.331s dt=0.02799s depth=127.056nm mask_opening=78.479nm wall=13.45s
step=117 t=9.354s dt=0.02244s depth=127.400nm mask_opening=78.466nm wall=6.92s
step=118 t=9.387s dt=0.03366s depth=127.914nm mask_opening=78.444nm wall=14.99s
step=119 t=9.438s dt=0.05048s depth=128.676nm mask_opening=78.393nm wall=6.83s
step=120 t=9.514s dt=0.07573s depth=129.818nm mask_opening=78.337nm wall=6.88s
step=121 t=9.558s dt=0.04466s depth=130.439nm mask_opening=78.300nm wall=14.65s
step=122 t=9.589s dt=0.03038s depth=130.884nm mask_opening=78.275nm wall=6.96s
step=123 t=9.603s dt=0.01407s depth=131.089nm mask_opening=78.263nm wall=15.04s
step=124 t=9.610s dt=0.007037s depth=131.189nm mask_opening=78.257nm wall=7.09s
step=125 t=9.619s dt=0.009041s depth=131.318nm mask_opening=78.250nm wall=6.84s
step=126 t=9.632s dt=0.01356s depth=131.511nm mask_opening=78.241nm wall=6.13s
step=127 t=9.653s dt=0.02034s depth=131.800nm mask_opening=78.218nm wall=6.06s
step=128 t=9.683s dt=0.03051s depth=132.229nm mask_opening=78.192nm wall=6.07s
step=129 t=9.729s dt=0.04577s depth=132.869nm mask_opening=78.137nm wall=6.09s
step=130 t=9.781s dt=0.05249s depth=133.597nm mask_opening=78.078nm wall=6.01s
step=131 t=9.860s dt=0.07873s depth=134.683nm mask_opening=78.022nm wall=9.44s
step=132 t=9.904s dt=0.04433s depth=135.300nm mask_opening=77.963nm wall=13.67s
step=133 t=9.927s dt=0.02217s depth=135.609nm mask_opening=77.940nm wall=6.50s
step=134 t=9.944s dt=0.01762s depth=135.853nm mask_opening=77.926nm wall=6.68s
step=135 t=9.971s dt=0.02642s depth=136.220nm mask_opening=77.889nm wall=6.84s
step=136 t=10.010s dt=0.03963s depth=136.771nm mask_opening=77.858nm wall=6.68s
step=137 t=10.040s dt=0.02973s depth=137.184nm mask_opening=77.831nm wall=13.84s
step=138 t=10.060s dt=0.01973s depth=137.459nm mask_opening=77.807nm wall=6.50s
step=139 t=10.089s dt=0.0296s depth=137.870nm mask_opening=77.773nm wall=11.91s
step=140 t=10.134s dt=0.0444s depth=138.487nm mask_opening=77.745nm wall=6.02s
step=141 t=10.167s dt=0.0333s depth=138.950nm mask_opening=77.713nm wall=20.34s
step=142 t=10.191s dt=0.02424s depth=139.288nm mask_opening=77.690nm wall=10.03s
step=143 t=10.228s dt=0.03636s depth=139.794nm mask_opening=77.663nm wall=6.26s
step=144 t=10.282s dt=0.05453s depth=140.553nm mask_opening=77.619nm wall=6.39s
