figure,panel,series,cl2_fraction_percent,value,units,marker_center_x_px,marker_center_y_px,marker_state,digitization_vertical_uncertainty_px,evidence_type
5.10,c,Cl_139_nm_fraction_of_three_line_spectrum,60,0.24962406,dimensionless,1378.5,2292.0,isolated,4,source_equipment_model_digitized
5.10,c,Cl_139_nm_fraction_of_three_line_spectrum,80,0.487218045,dimensionless,1504.5,2134.0,isolated,4,source_equipment_model_digitized
5.10,c,Cl_139_nm_fraction_of_three_line_spectrum,90,0.784210526,dimensionless,1567.5,1936.5,isolated,4,source_equipment_model_digitized
5.10,c,Cl_139_nm_fraction_of_three_line_spectrum,95,0.833834586,dimensionless,1598.9,1903.5,isolated,4,source_equipment_model_digitized
5.12,c,Ar_106.7_nm_trapping_factor,5,533.884298,dimensionless,1018.0,1834.0,isolated,4,source_equipment_model_digitized
5.12,c,Ar_106.7_nm_trapping_factor,10,474.46281,dimensionless,1054.5,1905.9,isolated,4,source_equipment_model_digitized
5.12,c,Ar_106.7_nm_trapping_factor,15,416.528926,dimensionless,1090.5,1976.0,isolated,4,source_equipment_model_digitized
5.12,c,Ar_106.7_nm_trapping_factor,20,360.330579,dimensionless,1127.0,2044.0,isolated,4,source_equipment_model_digitized
5.12,c,Ar_106.7_nm_trapping_factor,30,290.909091,dimensionless,1200.0,2128.0,isolated,4,source_equipment_model_digitized
5.12,c,Ar_106.7_nm_trapping_factor,40,223.140496,dimensionless,1273.0,2210.0,isolated,4,source_equipment_model_digitized
5.12,c,Ar_106.7_nm_trapping_factor,50,208.264463,dimensionless,1346.0,2228.0,isolated,4,source_equipment_model_digitized
5.12,c,Ar_106.7_nm_trapping_factor,60,146.280992,dimensionless,1419.0,2303.0,isolated,4,source_equipment_model_digitized
5.12,c,Ar_106.7_nm_trapping_factor,80,78.5123967,dimensionless,1565.0,2385.0,isolated,4,source_equipment_model_digitized
5.12,c,Ar_106.7_nm_trapping_factor,90,28.0991736,dimensionless,1638.0,2446.0,isolated,4,source_equipment_model_digitized
5.12,c,Ar_106.7_nm_trapping_factor,95,12.3966942,dimensionless,1674.0,2465.0,isolated,4,source_equipment_model_digitized
5.12,c,Ar_104.8_nm_trapping_factor,5,230.247934,dimensionless,1018.0,2201.4,isolated,4,source_equipment_model_digitized
5.12,c,Ar_104.8_nm_trapping_factor,10,227.68595,dimensionless,1054.5,2204.5,isolated,4,source_equipment_model_digitized
5.12,c,Ar_104.8_nm_trapping_factor,15,221.07438,dimensionless,1090.5,2212.5,isolated,4,source_equipment_model_digitized
5.12,c,Ar_104.8_nm_trapping_factor,20,214.46281,dimensionless,1127.0,2220.5,isolated,4,source_equipment_model_digitized
5.12,c,Ar_104.8_nm_trapping_factor,30,203.719008,dimensionless,1200.0,2233.5,isolated,4,source_equipment_model_digitized
5.12,c,Ar_104.8_nm_trapping_factor,40,190.495868,dimensionless,1273.0,2249.5,isolated,4,source_equipment_model_digitized
5.12,c,Ar_104.8_nm_trapping_factor,50,187.190083,dimensionless,1346.0,2253.5,isolated,4,source_equipment_model_digitized
5.12,c,Ar_104.8_nm_trapping_factor,60,169.834711,dimensionless,1419.0,2274.5,isolated,4,source_equipment_model_digitized
5.12,c,Ar_104.8_nm_trapping_factor,80,138.429752,dimensionless,1565.0,2312.5,isolated,4,source_equipment_model_digitized
5.12,c,Ar_104.8_nm_trapping_factor,90,91.322314,dimensionless,1638.0,2369.5,isolated,4,source_equipment_model_digitized
5.12,c,Ar_104.8_nm_trapping_factor,95,50.8264463,dimensionless,1674.0,2418.5,isolated,4,source_equipment_model_digitized
5.12,c,Cl_139_nm_trapping_factor,5,4.04958678,dimensionless,1018.0,2431.0,isolated,4,source_equipment_model_digitized
5.12,c,Cl_139_nm_trapping_factor,10,7.02479339,dimensionless,1054.5,2395.0,isolated,4,source_equipment_model_digitized
5.12,c,Cl_139_nm_trapping_factor,15,9.01652893,dimensionless,1090.5,2370.9,isolated,4,source_equipment_model_digitized
5.12,c,Cl_139_nm_trapping_factor,20,10.0082645,dimensionless,1127.0,2358.9,isolated,4,source_equipment_model_digitized
5.12,c,Cl_139_nm_trapping_factor,30,9.91735537,dimensionless,1200.0,2360.0,isolated,4,source_equipment_model_digitized
5.12,c,Cl_139_nm_trapping_factor,40,9.75206612,dimensionless,1273.0,2362.0,isolated,4,source_equipment_model_digitized
5.12,c,Cl_139_nm_trapping_factor,50,9.50413223,dimensionless,1346.0,2365.0,isolated,4,source_equipment_model_digitized
5.12,c,Cl_139_nm_trapping_factor,60,9.00826446,dimensionless,1419.0,2371.0,isolated,4,source_equipment_model_digitized
5.12,c,Cl_139_nm_trapping_factor,80,10,dimensionless,1565.0,2359.0,isolated,4,source_equipment_model_digitized
5.12,c,Cl_139_nm_trapping_factor,90,11.0330579,dimensionless,1638.0,2346.5,isolated,4,source_equipment_model_digitized
5.12,c,Cl_139_nm_trapping_factor,95,11.0330579,dimensionless,1674.0,2346.5,isolated,4,source_equipment_model_digitized
