electron_temperature_eV,a_3Pi_u_m3_s,A_1Pi_u_m3_s,b_3Pi_g_m3_s,B_1Pi_g_m3_s,C_1Delta_g_m3_s,c_3Sigma_g_minus_m3_s,D_1Sigma_g_plus_m3_s,e_3Sigma_u_plus_m3_s,summed_state_rate_m3_s
1.97098098098098,9.866873551044704e-16,7.400747271258044e-16,1.3382653330541148e-16,2.4862940535497782e-17,2.1587330573319088e-18,1.0697379955431016e-18,1.0858718025406726e-18,1.9343063565230626e-19,1.8899593295622518e-15
1.99099099099099,1.007535380905816e-15,7.579950529786665e-16,1.3852293204371518e-16,2.595092636867429e-17,2.2545015582715006e-18,1.1129752356896533e-18,1.1347452556141174e-18,2.0354565403004947e-19,1.9347100600004775e-15
2.011001001001,1.0284578573565744e-15,7.759831249124555e-16,1.4329270073316303e-16,2.7064676769078418e-17,2.3525077799259916e-18,1.1570832946989742e-18,1.1848030977148825e-18,2.1398600893693675e-19,1.9797067399525482e-15
2.03101101101101,1.0494506499536402e-15,7.940339711661789e-16,1.481349182472292e-16,2.820410549800794e-17,2.4527365625089633e-18,1.202054302245672e-18,1.2360405575220415e-18,2.247541350276002e-19,2.0249392304223607e-15
2.05102102102102,1.070509692475543e-15,8.121427309969075e-16,1.5304865384757185e-16,2.9369113740235236e-17,2.5551713939621192e-18,1.2478800162936892e-18,1.2884522459260838e-18,2.3585229441390506e-19,2.0703975470108533e-15
2.07103103103103,1.0916309869461697e-15,8.303046540053025e-16,1.580329682227601e-16,3.0559590541672645e-17,2.6597944658922882e-18,1.2945518419212301e-18,1.3420321800341288e-18,2.472825783517911e-19,2.116071860782104e-15
2.09104104104104,1.1128106035480906e-15,8.48515099345571e-16,1.6308691446982023e-16,3.1775413244138404e-17,2.7665867293312244e-18,1.3420608497746332e-18,1.396773806930717e-18,2.590469090914461e-19,2.161952498902748e-15
2.11105105105105,1.1340446804869283e-15,8.667695348317116e-16,1.6820953902162932e-16,3.301644791660619e-17,2.8755279501956577e-18,1.3903977941400139e-18,1.4526700271574299e-18,2.711470418783708e-19,2.2080299450702462e-15
2.13106106106106,1.1553294238097514e-15,8.850635359500626e-16,1.7339988252306332e-16,3.428254978236854e-17,2.9865967643354126e-18,1.4395531306233137e-18,1.509713217879589e-18,2.8358456709350773e-19,2.2542948397451775e-15
2.15107107107107,1.1766611071797539e-15,9.033927847881255e-16,1.786569806585999e-16,3.557356364160443e-17,3.099770732066262e-18,1.4895170334308494e-18,1.567895255711121e-18,2.963609125210901e-19,2.300737980201813e-15
2.17108108108108,1.1980360716091478e-15,9.217530688885615e-16,1.8397986493408935e-16,3.688932428888375e-17,3.215026392093659e-18,1.5402794122438902e-18,1.627207539172692e-18,3.094773457334535e-19,2.347350320409926e-15
2.19109109109109,1.2194507251530284e-15,9.40140280036538e-16,1.8936756341512534e-16,3.822965692519368e-17,3.3323393147418038e-18,1.5918299286821297e-18,1.6876410107612686e-18,3.2293497658239333e-19,2.394122970760653e-15
2.2111011011011,1.2409015425659904e-15,9.585504129880648e-16,1.948191014244375e-16,3.959437756410755e-17,3.4516841544109876e-18,1.6441580123522392e-18,1.7491861786120583e-18,3.3673475978734e-19,2.441047197647763e-15
2.23111111111111,1.2623850649237691e-15,9.76979564146507e-16,2.0033350220056334e-16,4.098329343176412e-17,3.5730347011934945e-18,1.6972528764785983e-18,1.8118331377365996e-18,3.5087749761094626e-19,2.488114422915623e-15
2.25112112112112,1.2838978992120905e-15,9.954239301934512e-16,2.059097875199592e-16,4.2396203360358225e-17,3.696363931586036e-18,1.751103533114531e-18,1.8755715908230686e-18,3.653638426130787e-19,2.535316223183996e-15
2.27113113113113,1.3054367178843683e-15,1.0138798066802446e-15,2.1154697828451685e-16,4.383289817487338e-17,3.821644058243604e-18,1.805698807933404e-18,1.9403908685877843e-18,3.8019430047483065e-19,2.5826443290592425e-15
2.29114114114114,1.3269982583906547e-15,1.0323435865853951e-15,2.1724409507650803e-16,4.529316107283578e-17,3.948846578725795e-18,1.8610273545993897e-18,2.0062799496678566e-18,3.9536923288449234e-19,2.6300906242412716e-15
2.31115115115115,1.348579322679292e-15,1.0508117588431354e-15,2.2300015868266697e-16,4.677676799687751e-17,4.077942323193581e-18,1.9170776687192113e-18,2.073227480048066e-18,4.108888604776719e-19,2.67764714453441e-15
2.33116116116116,1.3701767766731638e-15,1.06928090684768e-15,2.288141905892003e-16,4.828348799993895e-17,4.2089015010194425e-18,1.9738381013762278e-18,2.141221792015785e-18,4.2675326582453985e-19,2.7253060767702193e-15
2.35117117117117,1.3917875497229555e-15,1.0877477069373877e-15,2.3468521344930777e-16,4.981308360296711e-17,4.341693746279884e-18,2.031296872249387e-18,2.2102509226400804e-18,4.42962396457044e-19,2.7730597576502443e-15
2.37118118118118,1.4134086340375576e-15,1.1062089268631122e-15,2.406122515247139e-16,5.136531114498408e-17,4.4762881621042226e-18,2.089442082319945e-18,2.28030263177225e-18,4.595160679298686e-19,2.8209006725144946e-15
2.39119119119119,1.4350370840951332e-15,1.1246614242438078e-15,2.465943311027195e-16,5.293992112542283e-17,4.6126533638579964e-18,2.148261726169715e-18,2.351364419566209e-18,4.76413966908543e-19,2.868821454043586e-15
2.4112012012012,1.4566700160347724e-15,1.143102145013251e-15,2.526304808900172e-16,5.4536658538655306e-17,4.750757521144578e-18,2.207743703874568e-18,2.423423543518961e-18,4.936556542794378e-19,2.9168148808995133e-15
2.43121121121121,1.478304607031544e-15,1.1615281218605402e-15,2.587197323846402e-16,5.615526320064943e-17,4.89056839861167e-18,2.267875832498097e-18,2.4964670350316427e-18,5.112405682755597e-19,2.964873876311791e-15
2.45122122122122,1.4999380946551483e-15,1.179936472667376e-15,2.64861120227168e-16,5.779547006771895e-17,5.032053395554001e-18,2.328645857190252e-18,2.5704817154933655e-18,5.291680276133783e-19,3.0129915066132618e-15
2.47123123123123,1.5215677762145172e-15,1.1983243989444608e-15,2.710536825323621e-16,5.945700954733623e-17,5.175179584306829e-18,2.3900414618963332e-18,2.645454211890286e-18,5.474372346355877e-19,3.0611609797314055e-15
2.49124124124124,1.5431910080892929e-15,1.2166891842696621e-15,2.7729646120221696e-16,6.113960780099761e-17,5.319913747428055e-18,2.4520502796820924e-18,2.7213709719441788e-18,5.660472784551898e-19,3.1093756436396792e-15
2.51125125125125,1.5648052050493529e-15,1.2350281927297287e-15,2.8358850222153226e-16,6.284298703915471e-17,5.466222413669778e-18,2.5146599026809954e-18,2.7982182787839377e-18,5.849971380967178e-19,3.1576289847730003e-15
2.53126126126126,1.5864078395637476e-15,1.2533388673676542e-15,2.8992885593678985e-16,6.456686580822108e-17,5.6140718927431116e-18,2.577857891669839e-18,2.8759822651554152e-18,6.04285685630473e-19,3.2059146264116114e-15
2.55127127127127,1.6079964411000517e-15,1.2716187286375074e-15,2.9631657731935675e-16,6.631095926969054e-17,5.763428308882327e-18,2.6416317852794688e-18,2.954648927175311e-18,6.239116892957529e-19,3.254226327037239e-15
2.57128128128128,1.629568595415482e-15,1.2898653728682758e-15,3.0275072621369115e-16,6.807497947140553e-17,5.9142576332169326e-18,2.7059691088471215e-18,3.034204137634658e-18,6.438738166100555e-19,3.302557978665163e-15
2.59129129129129,1.6511219438404918e-15,1.3080764707380178e-15,3.09230367571468e-16,6.98586356110335e-17,6.066525714962433e-18,2.7708573829175437e-18,3.1146336588584342e-18,6.641706374602649e-19,3.3509036051552098e-15
2.6113013013013,1.6726541825560692e-15,1.3262497657599447e-15,3.157545716722171e-16,7.166163429180725e-17,6.220198311442074e-18,2.8362841313998285e-18,3.195923155128971e-18,6.848006271733781e-19,3.3992573605051826e-15
2.63131131131131,1.6941630618655828e-15,1.3443830727814366e-15,3.2232241433122925e-16,7.348367977060182e-17,6.375241116954251e-18,2.9022368893873513e-18,3.2780582046786544e-18,7.057621695632683e-19,3.4476135271294343e-15
2.65132132132132,1.7156463854622708e-15,1.362474276496936e-15,3.289329770953661e-16,7.532447419842714e-17,6.531619790500989e-18,2.968703210648023e-18,3.361024311261328e-18,7.270535599513902e-19,3.4959665141253612e-15
2.67133133133133,1.7371020096925864e-15,1.3805213299760492e-15,3.3558534742730577e-16,7.7183717853425e-17,6.6892999823951255e-18,3.0356706747922565e-18,3.444806915308583e-18,7.486730081585487e-19,3.544310855530021e-15
2.69134134134134,1.7585278428170716e-15,1.3985222532072232e-15,3.42278618878912e-16,7.906110936645652e-17,6.848247359764608e-18,3.1031268941264182e-18,3.529391404679986e-18,7.706186414656361e-19,3.5926412085697e-15
2.71135135135135,1.7799218442693894e-15,1.4164751316584118e-15,3.490118912541141e-16,8.095634593938011e-17,7.008427630973099e-18,3.171059520198864e-18,3.614763125014352e-18,7.928885075411805e-19,3.640952351905023e-15
2.73136136136136,1.8012820239130964e-15,1.4343781148544459e-15,3.55784270761884e-16,8.286912355613068e-17,7.16980656897798e-18,3.2394562500464867e-18,3.7009073896915076e-18,8.154805773337456e-19,3.689239183871607e-15
2.75137137137137,1.8226064412985125e-15,1.4522294149728954e-15,3.6259487015977604e-16,8.479913718669549e-17,7.332350033646747e-18,3.30830483214928e-18,3.7878094894115245e-18,8.3839274792751e-19,3.737496720721015e-15
2.77138138138138,1.8438932049191653e-15,1.4700273054578963e-15,3.694428088884411e-16,8.674608098411137e-17,7.496023993053852e-18,3.377593072100325e-18,3.875454701401259e-18,8.616228453593486e-19,3.785720094861529e-15
2.79139139139139,1.8651404714690946e-15,1.4877701196530395e-15,3.7632721319751077e-16,8.870964847459015e-17,7.66079454378092e-18,3.4473088379989744e-18,3.963828298255571e-18,8.851686273958573e-19,3.8339045531016656e-15
2.8114014014014,1.8863464451007023e-15,1.5054562494534617e-15,3.8324721626333784e-16,9.068953274089922e-17,7.826627930242993e-18,3.517440065574713e-18,4.052915556422637e-18,9.090277862691767e-19,3.882045454896911e-15
2.83141141141141,1.907509376685064e-15,1.5230841439773528e-15,3.9020195829881525e-16,9.268542659911215e-17,7.993490563064959e-18,3.5879747630490645e-18,4.142701764341215e-18,9.331979513704274e-19,3.93013827060217e-15
2.85142142142142,1.9286275630738253e-15,1.5406523082575832e-15,3.9719058665577565e-16,9.469702276886225e-17,8.161349036531644e-18,3.658901015743156e-18,4.233172230239111e-18,9.576766918994446e-19,3.978178579730459e-15
2.87143143143143,1.9496993463638997e-15,1.5581593019532882e-15,4.042122559201922e-16,9.672401403721851e-17,8.330170145135555e-18,3.730206990438246e-18,4.324312289600846e-18,9.824615194702526e-19,4.026162069219244e-15
2.89144144144144,1.970723113165516e-15,1.5756037380815965e-15,4.112661280005153e-16,9.876609341631131e-17,8.499920899246862e-18,3.801880939496492e-18,4.416107312312969e-18,1.007549890671082e-18,4.0740845317056665e-15
2.91145145145145,1.991697293873739e-15,1.5929842817699523e-15,4.1835137220946966e-16,1.0082295429485229e-16,8.670568539929685e-18,3.873911204749201e-18,4.508542709496406e-18,1.0329392095784722e-18,4.121941863811767e-15
2.93146146146146,2.0126203619433007e-15,1.6102996490288955e-15,4.2546716533957485e-16,1.0289429058365543e-16,8.842080552929295e-18,3.946286221159817e-18,4.601603940032956e-18,1.0586268302249467e-18,4.169730064439773e-15
2.95147147147147,2.0334908331689668e-15,1.6275486055451587e-15,4.3261269173260775e-16,1.0497979685531159e-16,9.01442468185405e-18,4.018994520268529e-18,4.6952765167951505e-18,1.0846100590191526e-18,4.2174452330799804e-15
2.97148148148148,2.054307264969224e-15,1.6447299654959076e-15,4.397871433433671e-16,1.0707916847813677e-16,9.187568940576892e-18,4.092024733425478e-18,4.789546012587386e-18,1.110886157118999e-18,4.265083568130345e-15
2.99149149149149,2.0750682556760967e-15,1.661842590382998e-15,4.469897197977999e-16,1.0919210174453586e-16,9.361481624879895e-18,4.1653655948195694e-18,4.884398065806555e-18,1.137452342756505e-18,4.312641365229693e-15
3.0115015015015,2.0957724438288816e-15,1.6788853878881342e-15,4.542196284459299e-16,1.1131829399389493e-16,9.536131323366379e-18,4.23900594430937e-18,4.97981838582995e-18,1.1643057935149366e-18,4.360115015603861e-15
3.03151151151151,2.1164185074752093e-15,1.6958573107486057e-15,4.614760844096052e-16,1.134574437301639e-16,9.711486927663709e-18,4.312934730062914e-18,5.075792758139105e-18,1.1914436485571326e-18,4.407501004428008e-15
3.05152152152152,2.1370051634760312e-15,1.7127573556531632e-15,4.687583106254176e-16,1.15609250734227e-16,9.88751764194037e-18,4.387141011012825e-18,5.172307049186443e-18,1.2188630108061707e-18,4.4547959092017845e-15
3.07153153153153,2.157531166817928e-15,1.7295845621585668e-15,4.760655378828733e-16,1.1777341617122488e-16,1.0064192991760703e-17,4.461613959133223e-18,5.269347211013047e-18,1.2465609490770009e-18,4.501996398141577e-15
3.09154154154154,2.1779953099312144e-15,1.7463380116262226e-15,4.833970048580875e-16,1.199496426929317e-16,1.0241482832299639e-17,4.536342861544339e-18,5.3668992856250266e-18,1.2745345001600619e-18,4.5490992285880856e-15
3.11155155155155,2.198396422014248e-15,1.7630168261789721e-15,4.907519581431184e-16,1.221376345353298e-16,1.0419357355940373e-17,4.611317122451521e-18,5.464949409136013e-18,1.3027806708566034e-18,4.596101245430053e-15
3.13156156156156,2.2187333683649957e-15,1.779620167677771e-15,4.981296522711676e-16,1.2433709761151076e-16,1.059778709927659e-17,4.686526264924221e-18,5.563483815682337e-18,1.331296439965767e-18,4.642999379545294e-15
3.15157157157157,2.239005049718612e-15,1.796147236718239e-15,5.055293497377309e-16,1.2654773960002313e-16,1.077674294954115e-17,4.761959932520886e-18,5.662488841119601e-18,1.3600787602238147e-18,4.68979064625801e-15
3.17158158158158,2.259210401592812e-15,1.812597271646825e-15,5.129503210179273e-16,1.2876927002879564e-16,1.0956196150483e-17,4.837607890765459e-18,5.76195092650606e-18,1.3891245601958342e-18,4.73647214381431e-15
3.19159159159159,2.2793483936394486e-15,1.8289695475963762e-15,5.203918445801138e-16,1.3100140035476377e-16,1.113611830771204e-17,4.913460028481509e-18,5.861856621380627e-18,1.4184307461198776e-18,4.783041051874397e-15
3.2116016016016,2.2994180290040566e-15,1.8452633755408234e-15,5.278532068959349e-16,1.3324384403931042e-16,1.131648139353359e-17,4.989506358988706e-18,5.962192586842175e-18,1.4479942037042343e-18,4.829494630023194e-15
3.23161161161161,2.319418343692213e-15,1.8614781013691414e-15,5.353337024469727e-16,1.3549631661965894e-16,1.1497257751291817e-17,5.065737021167807e-18,6.062945598436514e-18,1.4778117998781146e-18,4.87583021629876e-15
3.25162162162162,2.3393484059434097e-15,1.8776131049778338e-15,5.428326337280579e-16,1.3775853577632328e-16,1.1678420099241545e-17,5.142142280398555e-18,6.164102548857631e-18,1.5078803844958824e-18,4.922045225738619e-15
3.27163163163163,2.3592073156127974e-15,1.893667799382276e-15,5.503493112474495e-16,1.4003022139673433e-16,1.1859941533968241e-17,5.218712529376354e-18,6.2656504504696486e-18,1.5381967919957646e-18,4.968137148945068e-15
3.29164164164164,2.3789942035597708e-15,1.9096416298460302e-15,5.578830535239582e-16,1.423110956351728e-16,1.2041795533373995e-17,5.295438288811986e-18,6.367576437655085e-18,1.568757843013282e-18,5.014103550667787e-15
3.31165165165165,2.3987082310451427e-15,1.9255340730287754e-15,5.654331870811288e-16,1.446008829690968e-16,1.2223955959248033e-17,5.37231020801958e-18,6.4698677689968804e-18,1.5995603459497461e-18,5.059942068406358e-15
3.33166166166166,2.4183485891350663e-15,1.941344636151496e-15,5.729990464385943e-16,1.4689931025200162e-16,1.2406397059439693e-17,5.449319065397574e-18,6.5725118292979124e-18,1.6306010984966015e-18,5.10565041102979e-15
3.35167167167167,2.437914498113075e-15,1.957072856179804e-15,5.805799741007951e-16,1.492061067629034e-16,1.2589093469650322e-17,5.526455768806671e-18,6.675496131445871e-18,1.661876889116164e-18,5.151226357415598e-15
3.37168168168168,2.4574052069001757e-15,1.9727182990243153e-15,5.881753205429913e-16,1.5152100425256276e-16,1.2772020214862096e-17,5.603711355849961e-18,6.778808318128204e-18,1.6933844984792353e-18,5.196667755107364e-15
3.39169169169169,2.4768199924827447e-15,1.988280558758236e-15,5.957844441948123e-16,1.5384373698655136e-16,1.2955152710418596e-17,5.681076994058935e-18,6.8824361634017e-18,1.7251207008600674e-18,5.2419725189910846e-15
3.4117017017017,2.4961581593471954e-15,2.0037592568519695e-15,6.034067114214603e-16,1.5617404178527205e-16,1.3138466762773832e-17,5.758543980989896e-18,6.986367574123917e-18,1.7570822654897945e-18,5.287138629989274e-15
3.43171171171171,2.5154190389239972e-15,2.0191540414238444e-15,6.110414965025205e-16,1.5851165806101777e-16,1.3321938569925435e-17,5.836103744234696e-18,7.090590591250483e-18,1.789265957868218e-18,5.332164133774659e-15
3.45172172172172,2.5346019890385622e-15,2.034464586507711e-15,6.186881816085961e-16,1.6085632785218432e-16,1.3505544721545618e-17,5.913747841349444e-18,7.195093391002856e-18,1.8216685410353114e-18,5.377047139501986e-15
