level,radius_v,direction,direction_kind,replicates,frozen_lipschitz,ensemble_lipschitz,between_scramble_error,signal_to_sampling_error,local_current_change_l2,global_current_change,face_switch_fraction,switch_response_fraction,switch_signed_projection_fraction
11,0.1,dominant_1,dominant,8,11.619404812299154,4.2813850380928296,3.2737217015367777,1.3078036034898832,0.18845987092796757,0.2219141311616878,0.026999988775143677,1.0756475021257204,0.6839095239105709
11,0.1,dominant_2,dominant,8,7.239943882686179,3.420641473294264,2.9473674567913473,1.1605751652758447,0.25147078690127633,-0.14961651956808542,0.027492947048611112,0.9773433088334418,0.43584384752543587
11,0.1,worst_coordinate_0_dof_40,worst_coordinate,8,2.546855234063622,1.3955173539303922,1.222215790674474,1.1417929342577735,0.2803460281874719,0.4281611827498785,0.0135795037865182,0.9857782891082932,0.3618869323744126
11,0.1,worst_coordinate_1_dof_18,worst_coordinate,8,3.9057455862014256,1.6416700697662492,1.419313486339381,1.156664884514244,0.31846408701019324,-0.5083500029135004,0.01750282492217433,1.1575099530637003,0.5064611771161142
13,0.025,dominant_0,dominant,8,12.31332859505352,8.067652653366974,3.7373986110533095,2.1586278299314907,0.40457145320327603,-0.539671187925116,0.02304615006136255,1.3100540399335165,0.2546861551842007
13,0.025,dominant_1,dominant,8,5.314725897377784,3.101891441968244,2.181153145227092,1.422133722593463,0.40277647972223124,0.5987801221236104,0.007390457094857519,1.8574445434741533,0.5930117157986636
13,0.025,dominant_2,dominant,8,5.331255307423672,3.181318276124476,2.779462256500569,1.1445804916703048,0.39202486068962933,-0.5015738397262083,0.007502588732489224,1.6316710516697595,0.8151510365595164
13,0.025,worst_coordinate_0_dof_40,worst_coordinate,8,3.8000613418879703,1.0345679797050984,2.021265822741674,0.5118416232367673,0.15892931151721015,-0.19254684149215254,0.0036518783861649905,0.8811965976483145,0.044228478332517515
13,0.025,worst_coordinate_1_dof_18,worst_coordinate,8,2.9029079170839167,1.987607503783978,1.1700357919595799,1.6987578648813182,0.1784904496770115,-0.37801411664605467,0.004698596238176485,0.734320038829159,-0.08183323746227779
13,0.05,dominant_0,dominant,8,10.684459873199138,8.057705852521034,4.210581979913063,1.9136798406873443,0.48436386004290855,-0.8576138864462305,0.04217798225724377,1.0387586048300315,0.700254377531029
13,0.05,dominant_1,dominant,8,4.948574514519355,2.674581817822662,1.8726945554864791,1.4281997082689615,0.3409586754959068,0.5506250373691239,0.014216338994402538,1.7749106998513582,0.2826166477957525
13,0.05,dominant_2,dominant,8,4.572968668077436,3.8377175799743988,3.5493267590483057,1.0812522600774634,0.33379622087565647,-0.5929270693191044,0.01451835778481202,1.0597048390143364,-0.10252601358986586
13,0.05,worst_coordinate_0_dof_40,worst_coordinate,8,2.039464168659987,0.8220080085544096,1.1451289047876432,0.7178301107566974,0.08326491049129012,0.08776825693485696,0.0070768626713661395,1.3896220076256054,0.40965709864977334
13,0.05,worst_coordinate_1_dof_18,worst_coordinate,8,2.6056228497969283,1.7509307736181052,0.7713950258748125,2.269823780147448,0.08826003922000167,-0.1753810714975045,0.009137383822737068,0.7863672521544814,-0.16266581570614924
13,0.1,dominant_0,dominant,8,9.272627584416089,7.6738010766102684,2.4472642720639586,3.135665062497883,0.4395760738547404,0.054185640080378766,0.07502056721069804,0.8567949817663945,0.6814551162600864
13,0.1,dominant_1,dominant,8,4.983240907172891,2.327974618826538,1.3845656394932968,1.681375409315008,0.23610934054074528,0.410954596181777,0.02695368624281609,1.6451897939520197,0.8192576159849206
13,0.1,dominant_2,dominant,8,4.140293811242798,2.5925479291179405,1.992349571084778,1.3012515307272967,0.20842312028005122,-0.2767995970936937,0.02749692251855843,1.2881895790100866,0.20168963809769602
13,0.1,worst_coordinate_0_dof_40,worst_coordinate,8,1.618563721993291,0.8523889392520043,0.7122382074936403,1.1967750821056808,0.053579585326898854,0.039865049417393245,0.01359797802921456,1.0855705585618967,0.08596650354627984
13,0.1,worst_coordinate_1_dof_18,worst_coordinate,8,2.3376019268235804,1.348786154172757,0.676826022034567,1.99281072278848,0.1467003257764848,-0.2801502898387665,0.01752492385805795,0.9815438520641295,-0.064770824924162
